[i]
miu22	谬
tiu55	刁雕
tiu33	钓
tiu22	掉调
thiu55	挑
thiu21	条
thiu33	跳跳
niu22	尿
liu21	燎疗辽廖料廖(姓)
liu24	了(～结)料
ɬiu55	消箫
ɬiu35	浇
ɬiu24	小
ɬiu33	笑
ʧiu55	焦醮朝(今～)招
ʧiu33	沼 
ʧiu22	赵召(号～)照
ʧhiu55	锹樵超
ʧhiu21	朝(～代)
ʧhiu33	俏(～皮)
ʃiu55	烧囗(～～nap3nap3：指鸡骂狗)
ʃiu21	韶
ʃiu24	少(多～)
ʃiu33	少(～年)
ʃiu22	绍
kiu55	骄
kiu24	缴
kiu33	矫叫
kiu22	轿
khiu21	桥
khiu33	窍
hiu55	嚣
hiu24	晓
Øiu55	妖腰要(～求)
Øiu21	窑姚耀鹞 
Øiu35	绕(围～)绕(～线)
Øiu24	舀尧
Øiu33	要(重～)


[ai]
pai35	摆
pai33	拜
pai22	稗败
phai21	排牌
phai33	派
mai21	埋卖
mai35	买
mai22	迈
fai33	块快筷
tai55	呆
tai21	大(～夫)
tai33	戴带
tai22	大
thai33	态贷太
nai24	奶
lai55	拉
lai33	癞
lai22	赖
ʧai55	斋
ʧai33	债
ʧai22	寨
ʧhai55	猜差(出～)
ʧhai21	柴
ʃai55	筛
ʃai33	晒
kai55	阶楷佳街
kai35	解(～开)解(晓也)
kai33	界芥届戒
ŋai21	艾挨崖捱
hai55	揩
hai21	谐械鞋
hai35	蟹
hai22	骇
Øai35	矮
Øai33	隘嗌(训斥  原文有音无字)



[uai]
kuai55	乖
kuai35	拐
kuai33	怪
Øuai21	怀淮坏


[ɐi]
pɐi55	跛
pɐi33	闭
phɐi55	批胚𠜱(～皮：削皮  原文有音无字)
mɐi24	米
fɐi21	吠
fɐi33	块废肺费
tɐi55	低
tɐi35	底
tɐi33	帝
tɐi22	弟第隶
thɐi55	梯
thɐi21	堤题啼
thɐi35	体
thɐi33	替剃
nɐi21	泥尼
lɐi21	来例励黎丽
lɐi24	礼
lɐi33	囗(牵)
lɐi22	荔吏
ɬɐi55	西
ɬɐi35	洗
ɬɐi33	细
ʧɐi33	祭际制济剂
ʧhɐi55	妻
ʧhɐi21	齐
ʧhɐi33	砌
ʃɐi55	筛
ʃɐi21	誓
ʃɐi35	使
ʃɐi33	世
ʃɐi22	柿
kɐi55	鸡
kɐi33	计继髻
khɐi55	稽溪
khɐi35	启
khɐi33	契
ŋɐi21	桅毅危伪魏
ŋɐi24	蚁
ŋɐi22	艺
hɐi22	系(联～)


[uɐi]
kuɐi55	闺龟归
kuɐi21	跪
kuɐi35	诡轨鬼
kuɐi33	桂季贵
kuɐi22	柜
khuɐi55	规亏
khuɐi21	魁奎携癸葵
khuɐi33	愧
Øuɐi55	辉威
Øuɐi21	惠为(作～)为(～什么)维唯讳围
Øuɐi35	毁委伟
Øuɐi33	慧畏 
Øuɐi22	卫位胃


[ɔi]
tɔi22	待代袋
thɔi55	胎苔(1青苔；2舌苔)
thɔi21	台台抬
nɔi21	奈
nɔi22	耐
lɔi21	来
ʧɔi55	灾
ʧɔi35	宰彩
ʧɔi33	再载
ʧhɔi21	才裁豺
ʧhɔi33	菜蔡
ʧhɔi22	在
ʃɔi55	鳃
ʃɔi33	赛
kɔi55	该
kɔi35	改
kɔi33	盖
khɔi33	概慨
ŋɔi22	碍外
hɔi55	开
hɔi35	凯海
hɔi22	害
Øɔi55	哀
Øɔi33	爱


[ui]
pui55	杯
pui33	贝辈背
pui22	背
phui21	培陪赔
phui24	倍
phui33	沛配佩
mui21	梅媒妹霉
mui35	妹
mui24	每
fui55	盔恢灰
fui35	悔
tui55	堆
tui33	对碓蜕兑
tui22	队
thui55	推
thui35	腿
thui33	退
nui22	内
lui21	雷累类
lui24	屡蕊垒
lui22	泪
ɬui33	碎岁
ʧui55	追锥
ʧui35	嘴
ʧui33	最醉
ʧui22	罪坠
ʧhui55	催吹
ʧhui21	随锤
ʧhui33	脆翠粹
ʃui55	衰
ʃui21	垂睡隧谁
ʃui35	水
ʃui33	税帅
khui33	溃(溃脓)
Øui55	煨
Øui21	贿回(～来)汇会(～计)惠汇
Øui35	贿
Øui33	秽 
Øui22	会(～议)


[au]
pau55	包(文)跑鲍(1姓；2鲍鱼)雹
pau21	刨(文 拿锄头挖)
pau35	饱(文)
pau33	爆
phau55	泡(文 碱～)抛炮(文)
phau21	袍
phau33	泡(文 泡在水里)
phau35	跑(文)
mau55	猫(文)
mau21	茅(文)
mau24	卯
mau22	貌
nau22	闹
lau55	捞
ʧau35	找(文 ～散纸)
ʧau33	罩(文)
ʧhau55	抄(文)
ʧhau35	炒(文)吵
ʃau33	潲(文)
kau55	交(文)
kau35	绞(文)铰(文)搞饺 
kau33	教(文 ～书)教(文 ～育)较(文)
khau33	靠
ŋau24	咬(文)
hau55	敲(文)
hau24	考
hau33	孝
hau22	校(～对)效校(学～)
Øau33	坳(文)


[ɐu]
mɐu21	贸谋矛
mɐu35	亩没(1沉没；2没有)
mɐu22	谬
fɐu21	浮
tɐu35	斗
tɐu33	斗
tɐu22	豆
thɐu55	偷
thɐu21	头
thɐu33	透
nɐu35	纽扭
lɐu55	褛(外衣  原文有音无字)
lɐu21	楼流留馏囗(～乜：冒牌货)
lɐu24	柳
lɐu22	漏
ɬɐu55	修
ɬɐu35	搜
ɬɐu33	秀
ʧɐu55	邹周州
ʧɐu21	就袖
ʧɐu35	走酒
ʧɐu33	奏昼咒灸纠
ʧɐu22	宙骤
ʧhɐu55	秋羞抽
ʧhɐu21	囚绸愁仇
ʧhɐu35	丑丑
ʧhɐu33	凑臭
ʃɐu55	收
ʃɐu35	手守
ʃɐu33	嗽瘦兽
ʃɐu22	受寿
kɐu55	沟阄
kɐu35	狗九韭
kɐu33	够购救
kɐu22	旧
khɐu55	抠
khɐu21	求
khɐu24	舅
khɐu33	叩扣
ŋɐu21	牛
ŋɐu24	藕偶
hɐu21	喉猴候
hɐu24	口厚
hɐu22	后(前～)后(皇～)
Øɐu55	欧
Øɐu35	呕
Øɐu33	沤


[iɐu]
Øiɐu55	丘休忧幽
Øiɐu21	柔邮右由油囗(逛)
Øiɐu35	柚
Øiɐu24	有酉(原文标调误为[13])
Øiɐu33	诱幼


[ɛu]
pɛu55	包(白)
pɛu35	饱(白)
phɛu55	泡(白 碱～)囗(feŋ24～：戴高帽)抛(白)
phɛu21	刨(白 拿锄头挖)囗(猪用嘴拱地)囗(猪用嘴拱地)
phɛu24	跑(白)
phɛu33	炮(白)
mɛu55	猫(白)
mɛu21	茅(白)
ʧɛu55	囗(炸)
ʧɛu35	找(白 ～散纸)
ʧɛu33	罩(白)
ʧhɛu55	抄(白)囗(牛角顶人)囗(牛用角顶人)
ʧhɛu35	炒(白)
ʃɛu33	潲(白)
kɛu55	交(白)
kɛu35	绞(白)
kɛu33	教(白 ～书)铰(白)觉
khɛu35	巧(白)
hɛu21	姣(～婆 风流淫荡的女人  原文有音无字)
ŋɛu24	咬(白)
Øɛu55	囗(抓的意思)
Øɛu33	坳(白)
Øɛu35	拗(扳的意思  原文有音无字)



[im]
tim35	点典
tim33	店
tim22	垫
thim55	添
thim21	甜
nim55	捻
nim21	验鲇
nim22	念
lim55	囗(焉)
lim21	帘
lim35	敛殓
ʧim55	尖沾
ʧim33	占
ʧim22	渐 
ʧhim55	歼(歼灭)签迁笺
ʃim35	闪
kim55	兼
kim35	检
kim33	剑
kim22	俭
him55	谦
him35	险
him33	欠歉
Øim55	淹阉
Øim21	炎盐阎严嫌
Øim35	掩演
Øim24	染
Øim33	厌
Øim22	檐


[in]
pin55	边辫
pin33	变
pin22	辨便(方～)
phin55	编篇蝙
phin21	便(～宜)
phin33	骗遍片
min21	棉面眠
min35	免
min22	面
tin55	颠
tin22	电殿臀
thin55	天
thin21	田填
nin21	年
lin21	连怜
lin22	莲练楝
lin33	囗(打滚)
ɬin55	仙鲜(新～)轩先
ɬin35	癣
ɬin33	线
ʧin55	煎
ʧin35	剪展
ʧin33	箭战荐
ʧin22	贱
ʧhin55	千
ʧhin21	钱前
ʧhin35	浅
ʃin21	贤
ʃin33	羡搧扇
ʃin22	善
kin55	坚
kin35	笕
kin33	建见
kin22	件键健
hin55	掀牵
hin35	遣显
hin33	宪
Øin55	蔫烟咽
Øin21	然延言研
Øin33	艳堰燕宴
Øin22	谚砚现


[un]
pun55	搬
pun35	本
pun33	半
pun22	伴
phun55	潘
phun21	盘盆
phun33	判叛
mun21	门
mun24	瞒满
mun22	闷
fun55	宽欢
fun35	款
kun55	官观(参～)观(寺～)
kun35	管
kun33	贯罐
Øun21	换
Øun35	碗腕
Øun22	焕



[yn]
tyn55	端
tyn35	短
tyn22	锻段
thyn21	团
thyn24	断(决～)断(～绝)
nyn35	暖
nyn22	嫩
lyn21	鸾乱
lyn35	恋
lyn24	卵
ɬyn55	酸宣喧孙
ɬyn35	选损笋
ɬyn33	算蒜
ʧyn55	毡钻(动词)专砖尊遵
ʧyn35	转(～送)转(～螺丝)
ʧyn33	钻(木工用具)
ʧyn22	篆
ʧhyn55	川穿村
ʧhyn21	全传(～达)传(～记)存
ʧhyn33	窜篡串寸
ʃyn21	旋船玄
kyn55	绢
kyn35	卷
kyn33	眷券
kyn22	倦
kyn55	捐
khyn21	乾(乾坤)拳权
hyn55	圈
hyn33	劝
Øyn55	冤渊
Øyn21	完丸椽圆员缘沿铅元原愿袁园
Øyn35	院阮
Øyn24	软远
Øyn33	怨
Øyn22	宛县



[am]
tam55	耽囗(叼)担(～任)
tam35	胆
tam33	担(挑～)
tham55	贪
tham21	谭谈痰坛
tham35	淡
tham33	探
nam55	囗(～佬：乡下人)
nam21	南
lam21	蓝
lam35	览
lam24	缆
ɬam55	三
ʧam21	暂
ʧam35	斩
ʧam22	站(车～)
ʧham55	参
ʧham35	惨
ʧham33	杉
ʃam55	衫
kam55	监
kam35	感敢减
kam33	鉴
kam22	舰
kham55	勘
kham35	砍
ŋam21	岩
ham21	函咸衔
ham33	喊
ham22	苋(～菜)
Øam55	啱(～～：刚好  原文有音无字)


[an]
pan55	班
pan21	办
pan35	板
pan22	扮
phan55	攀
phan33	盼襻
man21	蛮馒顽
man24	晚
man22	慢漫万
fan55	范藩番(几～)藩
fan21	帆烦繁
fan35	反
fan33	泛范贩翻
fan22	犯饭
tan55	单(～独)
tan35	泹(焯  原文有音无字)
tan33	旦诞
tan22	弹(子～)蛋
than55	摊
than21	弹(～琴)
than35	毯坦
than33	炭
nan21	难(～易)难(苦～)
lan21	拦栏烂
lan24	懒
lan22	滥
ɬan35	散(鞋带散了)伞
ɬan33	散(分～)
ʧan21	馋残缠禅
ʧan35	盏栈
ʧan33	赞灒
ʧan22	赚
ʧhan55	餐
ʧhan21	蚕惭
ʧhan35	铲产
ʧhan33	灿颤
ʃan55	山删闩
kan55	艰间(白 中～)奸
kan35	简(白)茧
kan24	拣(白)
kan33	间(～断)涧
ŋan21	颜雁
ŋan24	眼
han21	闲(文)
han22	限
Øan33	晏


[uan]
kuan55	鳏关
kuan33	惯
Øuan5	弯
Øuan21	还(文 ～原)还(～有)环宦
Øuan35	玩(1古玩；2游玩)
Øuan22	幻


[ɐm]
nɐm55	囗(～pɛ21pɛ21)
lɐm21	林临
ɬɐm55	心
ʧɐm55	簪簪囗(股)针斟
ʧɐm35	枕
ʧɐm33	浸渗(水～透)
ʧhɐm55	侵
ʧhɐm21	潜寻沉
ʧhɐm33	囗(电灯～：电线杆)
ʃɐm55	森深
ʃɐm21	岑甚
ʃɐm35	沈婶
kɐm55	甘金
kɐm35	锦
kɐm33	禁(～不住)禁(～止)
kɐm22	揿
khɐm21	岑琴
khɐm24	妗
hɐm55	龛钦
hɐm21	含
Øɐm33	暗


[iɐm]
Øiɐm55	音
Øiɐm21	壬任(责任)吟淫
Øiɐm35	饮


[ɐn]
pɐn55	彬宾奔
pɐn22	笨
phɐn21	贫频 
phɐn24	品
phɐn33	喷(～水)喷(～香)
mɐn55	蚊
mɐn21	民文(～化)闻问璺 
mɐn35	敏
mɐn24	刎
fɐn55	婚分(～开)芬
fɐn21	焚坟份
fɐn35	粉
fɐn33	粪愤训
tɐn21	钝
tɐn22	盾(矛～)
thɐn55	吞
nɐn35	囗(nɔ21nɔ21～～：磨磨蹭蹭)
lɐn35	囗(沾)
lɐn21	邻鳞仑轮
lɐn22	论
ɬɐn55	辛新逊
ɬɐn33	信讯迅
ʧɐn55	津珍臻真
ʧɐn21	尽
ʧɐn33	进镇振震俊
ʧɐn22	尽阵
ʧhɐn21	秦陈尘臣
ʧhɐn35	诊
ʧhɐn33	亲趁衬
ʃɐn55	身申
ʃɐn21	神辰慎
ʃɐn35	榫
ʃɐn24	肾
kɐn55	跟根巾斤筋
kɐn35	紧仅谨
khɐn21	勤囗(团)芹
khɐn24	近
ŋɐn21	银
hɐn55	欣
hɐn21	痕恨
hɐn35	很
Øɐn55	恩


[iɐn]
Øiɐn55	因(～为)姻
Øiɐn21	人仁认寅
Øiɐn24	忍引隐
Øiɐn33	印
Øiɐn22	孕


[uɐn]
tuɐn55	墩
tuɐn22	顿
thuɐn55	吞(云～)
thuɐn21	臀
thuɐn33	屯
luɐn21	伦
ʧuɐn35	准
ʧhuɐn55	春
ʧhuɐn35	蠢
ʃuɐn21	荀旬巡唇顺舜纯
kuɐn55	军
kuɐn35	滚
kuɐn33	棍
khuɐn55	昆坤均郡
khuɐn21	群
khuɐn35	捆
khuɐn24	菌
khuɐn33	困
Øuɐn55	温瘟荤
Øuɐn21	魂馄混匀云韵运晕
Øuɐn35	稳尹
Øuɐn22	闰


[ɔn]
kɔn55	肝干(～湿)
kɔn35	杆赶
kɔn33	干(～部)
ŋɔn22	岸
hɔn55	看(～守)
hɔn21	寒汗
hɔn35	刊旱
hɔn33	看(～见)汉
hɔn22	焊
Øɔn55	安
Øɔn33	按


[en]
men24	皿


[ɛm]
lɛm35	舐
kɛm35	减
khɛm21	钳
hɛm21	咸
hɛm33	喊
hɛm22	苋


[ɛn]
nɛn24	囗(挺的意思)
kɛn55	间(白 中～)
kɛn35	简(白)
kɛn24	拣(白)
hɛn21	闲(白)


[uɛn]
Øuɛn21	还(白 ～原)



[aŋ]
phaŋ35	囗(撵走)
phaŋ21	庞彭棚
phaŋ24	囗(～行：撵走)
maŋ21	盲
maŋ35	猛孟
