ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2287	迫	迫	pʰak3	pʰak3	paak3	P115		
2288	拍	拍	pʰak3	pʰak3	paak3	P115		
2289	魄	魄	pʰak3	pʰak3	paak3	P115		
2290	陌	陌	mak2	mak2	maak6	P115		
2291	窄	窄	tʃak3	tʃak3	zaak3	P115		
2292	責	责	tʃak3	tʃak3	zaak3	P115		
2293	澤	泽	tʃak2	tʃak2	zaak6	P115		
2294	宅	宅	tʃak2	tʃak2	zaak6	P115		
2295	摘	摘	tʃak2	tʃak2	zaak6	P115		
2296	拆	拆	tʃʰak3	tʃʰak3	caak3	P115		
2297	策	策	tʃʰak3	tʃʰak3	caak3	P115		原文誤作[tʃhak2]
2298	冊	册	tʃʰak3	tʃʰak3	caak3	P115		原文誤作[tʃhak2]
2299	賊	贼	tʃʰak2	tʃʰak2	caak6	P115	小偷	原文有音無字
2300	格	格	kak3	kak3	gaak3	P115		
2301	革	革	kak3	kak3	gaak3	P115		
2302	隔	隔	kak3	kak3	gaak3	P115		
2303	額	额	ŋak2	ŋak2	ngaak6	P115		
2304	嚇	吓	hak3	hak3	haak3	P115	～一跳；恐～	
2305	客	客	hak3	hak3	haak3	P115		
2306	笠	笠	lɐp5	lɐp5	lap1	P115		
2307	立	立	lɐp2	lɐp2	lap6	P115		
2308	執	执	tʃɐp5	tʃɐp5	zap1	P115		原文「～起來」作「拾」字
2309	縶	絷	tʃɐp5	tʃɐp5	zap1	P115	縷	原文有音無字
2310	汁	汁	tʃɐp5	tʃɐp5	zap1	P115		
2311	集	集	tʃɐp2	tʃɐp2	zap6	P115		
2312	習	习	tʃɐp2	tʃɐp2	zap6	P115		
2313	溼	湿	ʃɐp5	ʃɐp5	sap1	P115		
2314	濕	湿	ʃɐp5	ʃɐp5	sap1	P115		
2315	十	十	ʃɐp2	ʃɐp2	sap6	P115		
2316	急	急	kɐp5	kɐp5	gap1	P115		
2317	及	及	kɐp2	kɐp2	gap6	P115		
2318	磕	磕	kʰɐp5	kʰɐp5	kap1	P115		
2319	級	级	kʰɐp5	kʰɐp5	kap1	P115		
2320	吸	吸	kʰɐp5	kʰɐp5	kap1	P115		
2321	筆	笔	pɐt5	pɐt5	bat1	P115		
2322	畢	毕	pɐt5	pɐt5	bat1	P115		
2323	不	不	pɐt5	pɐt5	bat1	P115		
2324	弼	弼	pɐt2	pɐt2	bat6	P115		
2325	匹	匹	pʰɐt5	pʰɐt5	pat1	P115		
2326	密	密	mɐt2	mɐt2	mat6	P115		
2327	物	物	mɐt2	mɐt2	mat6	P115		
2328	佛	佛	fɐt2	fɐt2	fat6	P115		
2329	突	突	tɐt2	tɐt2	dat6	P115		
2330	肄	肄	lɐt2	lɐt2	lat6	P115		
2331	慄	栗	lɐt2	lɐt2	lat6	P115		
2332	律	律	lɐt2	lɐt2	lat6	P115		
2333	率	率	lɐt2	lɐt2	lat6	P115		
2334	質	质	tʃɐt5	tʃɐt5	zat1	P115		
2335	疾	疾	tʃɐt2	tʃɐt2	zat6	P115		
2336	侄	侄	tʃɐt2	tʃɐt2	zat6	P115		
2337	姪	侄	tʃɐt2	tʃɐt2	zat6	P115		
2338	膝	膝	tʃʰɐt5	tʃʰɐt5	cat1	P115		原文誤作[tʃhɐt2]
2339	七	七	tʃʰɐt5	tʃʰɐt5	cat1	P115		
2340	漆	漆	tʃʰɐt5	tʃʰɐt5	cat1	P115		
2341	蚤	蚤	tʃu35	tʃu35	zu2	P115		原文誤作[ʃɐt5]
2342	悉	悉	ɬɐt5	ɬɐt5	slat1	P115		原文誤作[ʃɐt5]
2343	蝨	虱	ʃɐt5	ʃɐt5	sat1	P115		
2344	失	失	ʃɐt5	ʃɐt5	sat1	P115		
2345	室	室	ʃɐt5	ʃɐt5	sat1	P115		
2346	實	实	ʃɐt2	ʃɐt2	sat6	P115		
2347	吉	吉	kɐt5	kɐt5	gat1	P115		
2348	橘	橘	kɐt5	kɐt5	gat1	P115		
2349	咳	咳	kʰɐt5	kʰɐt5	kat1	P115		
2350	乞	乞	hɐt5	hɐt5	hat1	P115		
2351	亥	亥	hɔi22	hɔi22	hoi6	P115		原文誤作[hɐt2]
2352	轄	辖	hɐt2	hɐt2	hat6	P115		
2353	核	核	hɐt2	hɐt2	hat6	P115		
2354	覈	核	hɐt2	hɐt2	hat6	P115	審～	
2355	北	北	pɐk5	pɐk5	bak1	P115		
2356	嘜	唛	mɐk5	mɐk5	mak1	P115	米～：米筒	原文有音無字
2357	墨	墨	mɐk2	mɐk2	mak6	P115		
2358	麥	麦	mɐk2	mɐk2	mak6	P115		
2359	脈	脉	mɐk2	mɐk2	mak6	P115		
2360	德	德	tɐk5	tɐk5	dak1	P116		
2361	特	特	tɐk2	tɐk2	dak6	P116		
2362	肋	肋	lɐk2	lɐk2	lak6	P116		
2363	塞	塞	ɬɐk5	ɬɐk5	slak1	P116	阻～	
2364	則	则	tʃɐk5	tʃɐk5	zak1	P116		
2365	鯽	鲫	tʃɐk5	tʃɐk5	zak1	P116		
2366	側	侧	tʃɐk5	tʃɐk5	zak1	P116		
2367	測	测	tʃʰɐk5	tʃʰɐk5	cak1	P116		
2368	賊	贼	tʃʰɐk2	tʃʰɐk2	cak6	P116		
2369	刻	刻	kʰɐk5	kʰɐk5	kak1	P116	時～	
2370	握	握	ŋɐk5	ŋɐk5	ngak1	P116		
2371	軛	轭	ŋɐk5	ŋɐk5	ngak1	P116		
2372	呃	呃	ŋɐk5	ŋɐk5	ngak1	P116	騙	原文有音無字
2373	克	克	hɐk5	hɐk5	hak1	P116		
2374	黑	黑	hɐk5	hɐk5	hak1	P116		
2375	嗒	嗒	tɛp5	tɛp5	dep1	P116	親	原文有音無字
2376	鑷	镊	nɛp2	nɛp2	nep6	P116	鑷子	
2377	𤗈	𤗈	ɬɛp3	ɬɛp3	slep3	P116	木～	原文作「屑」字
2378	躞	躞	ɬɛp3	ɬɛp3	slep3	P116	哭～～：抽泣	原文有音無字
2379	八	八	pɛt3	pɛt3	bet3	P116		
2380	篾	篾	mɛt2	mɛt2	met6	P116		
2381	逼	逼	pek5	pek5	bik1	P116		原文誤作[pɛk5]
2382	碧	碧	pek5	pek5	bik1	P116		原文誤作[pɛk5]
2383	璧	璧	pek5	pek5	bik1	P116		原文誤作[pɛk5]
2384	壁	壁	pek5	pek5	bik1	P116		原文誤作[pɛk5]
2385	闢	辟	pʰek5	pʰek5	pik1	P116		原文誤作[phɛk5]
2386	辟	辟	pʰek5	pʰek5	pik1	P116		原文誤作[phɛk5]
2387	劈	劈	pʰɛk3	pʰɛk3	pek3	P116		
2388	擘	擘	mek5	mek5	mik1	P116	～菜：擇菜；“掰、剝”的意思；捻的意思	原文有音無字，誤作[mɛk5]
2389	覓	觅	mek2	mek2	mik6	P116		原文誤作[mɛk2]
2390	的	的	tek5	tek5	dik1	P116	目～	原文誤作[tɛk5]
2391	滴	滴	tek5	tek5	dik1	P116		原文誤作[tɛk5]
2392	趯	趯	tɛk3	tɛk3	dek3	P116	跑的意思	原文有音無字
2393	笛	笛	tek2	tek2	dik6	P116		原文誤作[tɛk2]
2394	敵	敌	tek2	tek2	dik6	P116		原文誤作[tɛk2]
2395	踢	踢	tʰɛk3	tʰɛk3	tek3	P116		
2396	叻	叻	lɛk5	lɛk5	lek1	P116	聰明	原文有音無字
2397	力	力	lek2	lek2	lik6	P116		原文誤作[lɛk2]
2398	歷	历	lek2	lek2	lik6	P116		原文誤作[lɛk2]
2399	曆	历	lek2	lek2	lik6	P116		原文誤作[lɛk2]
2400	息	息	ɬek5	ɬek5	slik1	P116		原文誤作[ɬɛk5]
2401	惜	惜	ɬek5	ɬek5	slik1	P116		原文誤作[ɬɛk5]
2402	釋	释	ɬek5	ɬek5	slik1	P116		原文誤作[ɬɛk5]
2403	析	析	ɬek5	ɬek5	slik1	P116		原文誤作[ɬɛk5]
2404	即	即	tʃek5	tʃek5	zik1	P116		原文誤作[tʃɛk5]
2405	織	织	tʃek5	tʃek5	zik1	P116		原文誤作[tʃɛk5]
2406	職	职	tʃek5	tʃek5	zik1	P116		原文誤作[tʃɛk5]
2407	積	积	tʃek5	tʃek5	zik1	P116	面積；“J”的意思	
2408	績	绩	tʃek5	tʃek5	zik1	P116		原文誤作[tʃɛk5]
2409	直	直	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk3]
2410	值	值	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk3]
2411	脊	脊	tʃɛk3	tʃɛk3	zek3	P116		
2412	隻	只	tʃɛk3	tʃɛk3	zek3	P116		
2413	蟄	蛰	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk2]
2414	植	植	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk2]
2415	籍	籍	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk2]
2416	席	席	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk2]
2417	炙	炙	tʃek3	tʃek3	zik3	P116		原文誤作[tʃɛk2]
2418	寂	寂	tʃek2	tʃek2	zik6	P116		原文誤作[tʃɛk2]
2419	赤	赤	tʃʰek5	tʃʰek5	cik1	P116		原文誤作[tʃhɛk5]
2420	戚	戚	tʃʰek5	tʃʰek5	cik1	P116		原文誤作[tʃhɛk5]
2421	尺	尺	tʃʰɛk3	tʃʰɛk3	cek3	P116		
2422	色	色	ʃek5	ʃek5	sik1	P116		原文誤作[ʃɛk5]
2423	識	识	ʃek5	ʃek5	sik1	P116		原文誤作[ʃɛk5]
2424	式	式	ʃek5	ʃek5	sik1	P116		原文誤作[ʃɛk5]
2425	適	适	ʃek5	ʃek5	sik1	P116		原文誤作[ʃɛk5]
2426	勺	勺	ʃɛk2	ʃɛk2	sek6	P116		
2427	食	食	ʃek2	ʃek2	sik6	P116		原文誤作[ʃɛk2]
2428	石	石	ʃɛk2	ʃɛk2	sek6	P116		
2429	戟	戟	kek5	kek5	gik1	P116		原文誤作[kɛk5]
2430	劇	剧	kek5	kek5	gik1	P116		「劇烈」訓讀「激烈」，原文誤作[kɛk5]
2431	擊	击	kek5	kek5	gik1	P116		原文誤作[kɛk5]
2432	極	极	kek2	kek2	gik6	P116		原文誤作[kɛk2]
2433	屐	屐	kʰɛk5	kʰɛk5	kek1	P116		
2434	激	激	kek5	kek5	gik1	P116	生氣	原文誤作[khɛk5]
2435	揢	揢	kʰɛk5	kʰɛk5	kek1	P116	樓梯～：臺階	原文有音無字，又讀[khɐk5]
2436	逆	逆	ŋek2	ŋek2	ngik6	P116	～風	原文誤作[ŋɛk2]
2437	喫	吃	hek5	hek5	hik1	P116		原文誤作[hɛk5]
2438	吃	吃	hek5	hek5	hik1	P116		原文誤作[hɛk5]
2439	碟	碟	tip2	tip2	dip6	P116		
2440	蝶	蝶	tip2	tip2	dip6	P116		
2441	帖	帖	tʰip3	tʰip3	tip3	P116		
2442	孽	孽	nip2	nip2	nip6	P116		原文誤作[nip3]
2443	聶	聂	nip2	nip2	nip6	P116	姓	
2444	業	业	nip2	nip2	nip6	P116		
2445	獵	猎	lip2	lip2	lip6	P116		原文誤作[lip3]
2446	接	接	tʃip3	tʃip3	zip3	P116		
2447	摺	折	tʃip3	tʃip3	zip3	P116		
2448	攝	摄	ʃip3	ʃip3	sip3	P116		
2449	涉	涉	ʃip3	ʃip3	sip3	P116		
2450	劫	劫	kip3	kip3	gip3	P116		
2451	怯	怯	hip3	hip3	hip3	P116		
2452	脅	胁	hip3	hip3	hip3	P116		
2453	協	协	hip3	hip3	hip3	P116		
2454	醃	腌	∅ip3	jip3	jip3	P116		
2455	腌	腌	∅ip3	jip3	jip3	P116		
2456	葉	叶	∅ip2	jip2	jip6	P116		
2457	頁	页	∅ip2	jip2	jip6	P116		
2458	啄	啄	tœk3	tœk3	doek3	P116		
2459	虐	虐	nœk2	nœk2	noek6	P116		
2460	略	略	lœk3	lœk3	loek3	P116		
2461	掠	掠	lœk3	lœk3	loek3	P116		
2462	削	削	ɬœk3	ɬœk3	sloek3	P116		
2463	嚼	嚼	tʃœk3	tʃœk3	zoek3	P116		
2464	着	着	tʃœk3	tʃœk3	zoek3	P116	～衣	
2465	酌	酌	tʃœk3	tʃœk3	zoek3	P116		
2466	桌	桌	tʃœk3	tʃœk3	zoek3	P116		
2467	着	着	tʃœk2	tʃœk2	zoek6	P116	睡～	
2468	雀	雀	tʃʰœk3	tʃʰœk3	coek3	P116		
2469	鵲	鹊	tʃʰœk3	tʃʰœk3	coek3	P116		
