ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1593	輪	轮	lɐn21	lɐn21	lan4	P112		
1594	論	论	lɐn22	lɐn22	lan6	P112		
1595	辛	辛	ɬɐn55	ɬɐn55	slan1	P113		
1596	新	新	ɬɐn55	ɬɐn55	slan1	P113		
1597	遜	逊	ɬɐn33	ɬɐn33	slan3	P113		原文誤作[ɬɐn55]
1598	信	信	ɬɐn33	ɬɐn33	slan3	P113		
1599	訊	讯	ɬɐn33	ɬɐn33	slan3	P113		
1600	迅	迅	ɬɐn33	ɬɐn33	slan3	P113		
1601	津	津	tʃɐn55	tʃɐn55	zan1	P113		
1602	珍	珍	tʃɐn55	tʃɐn55	zan1	P113		
1603	臻	臻	tʃɐn55	tʃɐn55	zan1	P113		
1604	真	真	tʃɐn55	tʃɐn55	zan1	P113		
1605	儘	尽	tʃɐn22	tʃɐn22	zan6	P113		原文誤作[tʃɐn21]
1606	進	进	tʃɐn33	tʃɐn33	zan3	P113		
1607	鎮	镇	tʃɐn33	tʃɐn33	zan3	P113		
1608	振	振	tʃɐn33	tʃɐn33	zan3	P113		
1609	震	震	tʃɐn33	tʃɐn33	zan3	P113		
1610	俊	俊	tʃɐn33	tʃɐn33	zan3	P113		
1611	盡	尽	tʃɐn22	tʃɐn22	zan6	P113		
1612	陣	阵	tʃɐn22	tʃɐn22	zan6	P113		
1613	秦	秦	tʃʰɐn21	tʃʰɐn21	can4	P113		
1614	陳	陈	tʃʰɐn21	tʃʰɐn21	can4	P113		
1615	塵	尘	tʃʰɐn21	tʃʰɐn21	can4	P113		
1616	臣	臣	tʃʰɐn21	tʃʰɐn21	can4	P113		
1617	診	诊	tʃʰɐn35	tʃʰɐn35	can2	P113		
1618	親	亲	tʃʰɐn33	tʃʰɐn33	can3	P113		
1619	趁	趁	tʃʰɐn33	tʃʰɐn33	can3	P113		
1620	襯	衬	tʃʰɐn33	tʃʰɐn33	can3	P113		
1621	身	身	ʃɐn55	ʃɐn55	san1	P113		
1622	申	申	ʃɐn55	ʃɐn55	san1	P113		
1623	神	神	ʃɐn21	ʃɐn21	san4	P113		
1624	辰	辰	ʃɐn21	ʃɐn21	san4	P113		
1625	慎	慎	ʃɐn22	ʃɐn22	san6	P113		原文誤作[ʃɐn21]
1626	榫	榫	ɬɐn35	ɬɐn35	slan2	P113		原文誤作[ʃɐn35]
1627	腎	肾	ʃɐn24	ʃɐn24	san5	P113		
1628	跟	跟	kɐn55	kɐn55	gan1	P113		
1629	根	根	kɐn55	kɐn55	gan1	P113		
1630	巾	巾	kɐn55	kɐn55	gan1	P113		
1631	斤	斤	kɐn55	kɐn55	gan1	P113		
1632	筋	筋	kɐn55	kɐn55	gan1	P113		
1633	緊	紧	kɐn35	kɐn35	gan2	P113		
1634	僅	仅	kɐn35	kɐn35	gan2	P113		
1635	謹	谨	kɐn35	kɐn35	gan2	P113		
1636	勤	勤	kʰɐn21	kʰɐn21	kan4	P113		
1637	囤	囤	kʰɐn21	kʰɐn21	kan4	P113	囤	原文有音無字，誤作[kʰɐn21]，誤釋義爲「團」
1638	芹	芹	kʰɐn21	kʰɐn21	kan4	P113		
1639	近	近	kʰɐn24	kʰɐn24	kan5	P113		
1640	銀	银	ŋɐn21	ŋɐn21	ngan4	P113		
1641	欣	欣	hɐn55	hɐn55	han1	P113		
1642	痕	痕	hɐn21	hɐn21	han4	P113		
