ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
2671	墜	坠	tʃui22	t͡ʃuːi22	zui6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2672	志	志	tʃi33	t͡ʃiː33	zi3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2673	誌	志	tʃi33	t͡ʃiː33	zi3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2674	痣	痣	tʃi33	t͡ʃiː33	zi3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2675	值	值	tʃik2	t͡ʃɪk̚2/t͡ʃek̚2	zik6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2676	治	治	tʃi22	t͡ʃiː22	zi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2677	寺	寺	tʃi22	t͡ʃiː22	zi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2678	嗣	嗣	tʃi22	t͡ʃiː22	zi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2679	孠	孠	tʃi22	t͡ʃiː22	zi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2680	飤	饲	tsʰɿ21	t͡sʰɿ21	cy4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2681	飼	饲	tsʰɿ21	t͡sʰɿ21	cy4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2682	伺	伺	ʃi33	ʃiː33	si3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2683	試	试	ʃi33	ʃiː33	si3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2684	吏	吏	li22	liː22	li6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2685	字	字	tsɿ22	t͡sɿ22	zy6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2686	牸	牸	tsɿ22	t͡sɿ22	zy6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	牝牛。	
2687	餌	饵	0i23	jiː24	ji5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2688	𩱓	𩱓	0i23	jiː24	ji5	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2689	廁	厕	tʃʰi33	t͡ʃʰiː33	ci3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）	廁所。	
2690	異	异	0i22	jiː22	ji6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2691	置	置	tʃi33	t͡ʃiː33	zi3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2692	侍	侍	sɿ22	sɿ22	sy6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2693	事	事	sɿ22	sɿ22	sy6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2694	忌	忌	ki22	kiː22	gi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2695	意	意	0i33	jiː33	ji3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2696	記	记	ki33	kiː33	gi3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2697	未	未	mi21	miː21	mi4	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2698	味	味	mi22	miː22	mi6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2699	貴	贵	kuɐi33	kʷɐi33	gwai3	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
2700	胃	胃	0uɐi22	wɐi22	wai6	2007年謝建猷《廣西漢語方言研究》（小學堂網站）		
