序号	聲韻	聲調	字元	字數
144	pʰui 	陰去33	佩, 配, 沛	3
145	pʰau 	陰平55	雹	1
146	pʰau 	陽平21	刨	1
147	pʰau 	陰上35	跑	1
148	pʰau 	陰去33	泡, 炮	2
149	pʰɐu 	陰上35	剖	1
150	pʰɛu 	陰平55	泡	1
151	pʰɛu 	陽平21	刨, 鉋	2
152	pʰɛu 	陰上35	跑	1
153	pʰɛu 	陰去33	炮	1
154	pʰiu 	陰平55	漂, 飄	2
155	pʰiu 	陽平21	剽, 嫖, 瓢	3
156	pʰiu 	陰去33	漂, 票	2
157	pʰan 	陰平55	攀	1
158	pʰan 	陰去33	盼	1
159	pʰɐn 	陽平21	貧, 頻	2
160	pʰɐn 	陰上35	品	1
161	pʰɐn 	陰去33	噴	1
162	pʰɛn 	陰平55	篇	1
163	pʰin 	陰平55	偏, 編, 篇	3
164	pʰin 	陽平21	便	1
165	pʰin 	陰去33	片, 遍, 騙	3
166	pʰun 	陰平55	潘	1
167	pʰun 	陽平21	盤	1
168	pʰun 	陰去33	判, 叛	2
169	pʰaŋ 	陽平21	龐, 彭, 膨, 棚	4
170	pʰɐŋ 	陰平55	烹	1
171	pʰɐŋ 	陽平21	憑, 朋	2
172	pʰɔŋ 	陽平21	旁, 滂	2
173	pʰɛŋ 	陽平21	平	1
174	pʰeŋ 	陰平55	拼	1
175	pʰeŋ 	陽平21	坪, 平, 評, 萍, 屏, 瓶	6
176	pʰeŋ 	陰去33	聘	1
177	pʰuŋ 	陰平55	蓬	1
178	pʰuŋ 	陽平21	蓬, 篷	2
179	pʰuŋ 	陰上35	捧	1
180	pʰuŋ 	陰去33	碰	1
181	pʰɐt 	陰入55	匹	1
182	pʰit 	中入33	撇	1
183	pʰut 	中入33	潑	1
184	pʰak 	中入33	拍, 迫, 柏, 魄, 帛	5
185	pʰɛk 	中入33	劈	1
186	pʰek 	陰入55	癖, 僻, 闢	3
187	pʰuk 	陰入55	樸, 朴, 卜, 撲	4
188	pʰuk 	陽入22	仆, 僕, 卜	3
189	ma 	陰平55	媽	1
190	ma 	陽平21	麻, 痳	2
191	ma 	陽上24	碼, 馬	2
192	ma 	陽去22	罵	1
193	mɔ 	陰平55	模, 魔, 摹, 摸, 摩	5
194	mɔ 	陽平21	磨	1
195	mɔ 	陽去22	磨	1
196	mɛ 	陰平55	咩	1
197	mi 	陰平55	瞇	1
198	mi 	陽平21	謎, 眉, 迷, 微, 靡	5
199	mi 	陽上24	尾	1
200	mi 	陽去22	媚, 寐, 昧, 未, 味	5
201	mu 	陰平55	誣, 巫	2
202	mu 	陽平21	毛, 無	2
203	mu 	陽上24	母, 鵡, 侮, 武, 舞	5
204	mu 	陽去22	霧, 募, 墓, 暮, 帽, 務, 慕	7
205	mai 	陽平21	埋	1
206	mai 	陽上24	買	1
207	mai 	陽去22	賣	1
208	mɐi 	陰平55	米	1
209	mɐi 	陽上24	美, 米	2
210	mui 	陰平55	妹	1
211	mui 	陽平21	梅, 煤, 媒, 黴	4
212	mui 	陰上35	妹	1
213	mui 	陽上24	每	1
214	mui 	陽去22	妹	1
215	mau 	陰平55	貓	1
216	mau 	陽平21	錨	1
217	mau 	陽上24	卯	1
218	mau 	陽去22	冒, 貌	2
219	mɐu 	陽平21	謀	1
220	mɐu 	陽上24	畝, 某	2
221	mɐu 	陽去22	貿, 茂	2
222	mɛu 	陰平55	貓	1
223	mɛu 	陽平21	矛, 茅	2
224	miu 	陰平55	瞄	1
225	miu 	陽平21	描, 苗, 瞄	3
226	miu 	陽上24	渺, 藐, 秒, 眇	4
227	miu 	陽去22	繆, 妙, 廟	3
228	man 	陽平21	饅, 蠻, 頑	3
229	man 	陽上24	晚, 挽	2
230	man 	陽去22	幔, 蔓, 漫, 曼, 萬, 慢, 饅	7
231	mɐn 	陰平55	燜, 文, 蚊	3
232	mɐn 	陽平21	聞, 民, 文, 紋	4
233	mɐn 	陽上24	敏, 閩, 憫, 吻, 刎	5
234	mɐn 	陽去22	慢, 問	2
235	min 	陽平21	棉, 綿, 眠	3
236	min 	陽上24	免, 娩, 勉, 緬	4
237	min 	陽去22	面, 麵	2
238	mun 	陽平21	門, 瞞	2
239	mun 	陽上24	滿	1
240	mun 	陽去22	悶	1
241	maŋ 	陽平21	盲	1
242	maŋ 	陽上24	蜢, 猛	2
243	mɐŋ 	陽平21	盟, 萌	2
244	mɐŋ 	陽去22	孟	1
245	mɔŋ 	陰平55	芒	1
246	mɔŋ 	陽平21	亡, 茫, 忙, 虻	4
247	mɔŋ 	陽上24	網	1
248	mɔŋ 	陽去22	妄, 望, 忘	3
249	mɛŋ 	陽平21	名	1
250	mɛŋ 	陽去22	命	1
251	meŋ 	陽平21	冥, 名, 明	3
252	meŋ 	陽去22	命	1
253	muŋ 	陽平21	矇, 蒙, 濛	3
254	muŋ 	陰上35	懵	1
255	muŋ 	陽去22	夢	1
256	mat 	中入33	抹	1
257	mat 	陽入22	襪	1
258	mɐt 	陽入22	襪, 蜜, 密, 勿, 物	5
259	mɛt 	陰入55	乜	1
260	mɛt 	陽入22	篾	1
261	mit 	陽入22	蔑, 滅	2
262	mut 	陽入22	末, 沒, 沬	3
263	mɐk 	陽入22	脈, 麥, 墨, 默, 陌	5
264	mek 	陽入22	覓	1
265	muk 	陽入22	目, 沐, 穆, 牧, 睦, 木	6
266	fa 	陰平55	花	1
267	fa 	陰去33	化	1
268	fɔ 	陰平55	科	1
269	fɔ 	陰上35	夥, 火	2
270	fɔ 	陰去33	貨	1
271	fi 	陰平55	妃, 非, 飛	3
272	fi 	陽平21	肥	1
273	fi 	陰上35	翡, 匪, 疿	3
274	fu 	陰平55	敷, 膚, 麩, 乎, 夫, 孵	6
275	fu 	陽平21	符, 芙, 扶	3
276	fu 	陰上35	撫, 斧, 滸, 虎, 釜, 府, 俯	7
277	fu 	陽上24	婦	1
278	fu 	陰去33	戽, 富, 庫, 褲, 副	5
279	fu 	陽去22	附, 賦, 傅, 訃, 赴, 父, 腐, 付	8
280	fai 	陰去33	塊, 筷, 快	3
281	fɐi 	陰去33	廢, 費, 肺	3
282	fɐi 	陽去22	吠	1
283	fui 	陰平55	徽, 詼, 灰, 恢	4
284	fui 	陰上35	悔, 賄	2
285	fɐu 	陽平21	浮	1
286	fɐu 	陰上35	否	1
287	fɐu 	陽去22	阜, 埠	2
288	fan 	陰平55	翻, 番	2
289	fan 	陽平21	凡, 煩, 樊, 藩, 帆, 繁, 礬	7
290	fan 	陰上35	返, 反	2
291	fan 	陰去33	範, 范, 泛, 販	4
292	fan 	陽去22	梵, 犯, 飯	3
293	fɐn 	陰平55	芬, 分, 紛	3
294	fɐn 	陽平21	焚, 墳	2
295	fɐn 	陰上35	粉	1
296	fɐn 	陽上24	憤, 忿	2
297	fɐn 	陰去33	訓, 奮, 糞, 瞓	4
298	fɐn 	陽去22	份	1
299	fɛn 	陰平55	翻	1
300	fun 	陰平55	寬, 歡	2
301	fun 	陰上35	款	1
302	fɔŋ 	陰平55	方, 芳, 謊, 慌, 荒	5
303	fɔŋ 	陽平21	妨, 房, 肪, 防	4
304	fɔŋ 	陰上35	紡, 彷, 訪, 仿, 倣, 晃	6
305	fɔŋ 	陰去33	放	1
306	fuŋ 	陰平55	封, 瘋, 峯, 豐, 烽, 風, 鋒, 蜂	8
307	fuŋ 	陽平21	逢, 縫, 馮	3
308	fuŋ 	陰上35	諷	1
309	fuŋ 	陽去22	縫, 鳳, 俸, 奉	4
310	fat 	中入33	發, 髮, 法	3
311	fat 	陽入22	筏, 罰, 伐, 閥, 乏	5
312	fɐt 	陽入22	彿, 拂, 弗, 佛	4
313	fut 	中入33	闊	1
314	fuk 	陰入55	覆, 復, 複, 福	4
315	fuk 	陽入22	服, 伏	2
316	tœk 	中入33	刴	1
317	ta 	陰上35	打	1
318	tɔ 	陰平55	多	1
319	tɔ 	陰上35	朶, 躱	2
320	tɔ 	陽去22	墮, 舵, 惰	3
321	tɛ 	陰平55	爹	1
322	tœ 	陰上35	朶	1
323	ti 	陰上35	弟	1
324	ti 	陽去22	哋, 弟, 地	3
325	tu 	陰平55	都, 刀	2
326	tu 	陰上35	禱, 島, 倒, 賭, 搗, 堵, 睹	7
327	tu 	陰去33	倒, 到	2
328	tu 	陽去22	杜, 道, 導, 稻, 鍍, 渡, 度, 盜, 妬	9
329	tai 	陰平55	獃	1
330	tai 	陰上35	歹	1
331	tai 	陰去33	帶, 戴	2
