序号	聲韻	聲調	字元	字數
623	lɐi 	陽上24	禮	1
624	lɐi 	陽去22	荔, 厲, 麗, 礪, 例	5
625	lɔi 	陽平21	來	1
626	lui 	陰平55	壘	1
627	lui 	陽平21	雷, 擂	2
628	lui 	陽上24	磊, 累	2
629	lui 	陽去22	累, 類, 淚	3
630	lau 	陰平55	撈	1
631	lau 	陽平21	撈	1
632	lɐu 	陰平55	褸	1
633	lɐu 	陽平21	榴, 硫, 琉, 耬, 留, 瘤, 劉, 樓, 流	9
634	lɐu 	陰上35	摟	1
635	lɐu 	陽上24	柳	1
636	lɐu 	陽去22	漏, 陋	2
637	lɛu 	陰平55	撈	1
638	lɛu 	陽平21	撈	1
639	liu 	陰平55	溜	1
640	liu 	陽平21	繚, 遼, 療, 撩, 燎, 聊	6
641	liu 	陰上35	料	1
642	liu 	陽上24	了	1
643	liu 	陽去22	料	1
644	lam 	陰平55	籃	1
645	lam 	陽平21	藍, 籃	2
646	lam 	陰上35	欖, 覽, 攬	3
647	lam 	陽去22	纜, 艦, 濫	3
648	lɐm 	陽平21	林, 淋, 臨, 琳	4
649	lɐm 	陰上35	凜	1
650	lim 	陽平21	簾, 聯, 鐮, 廉	4
651	lim 	陰上35	殮, 斂	2
652	lan 	陰平55	欄	1
653	lan 	陽平21	攔, 蘭, 欄	3
654	lan 	陰上35	懶	1
655	lan 	陽上24	懶	1
656	lan 	陽去22	爛	1
657	lɐn 	陽平21	鄰, 燐, 崙, 倫, 麟, 輪, 鱗	7
658	lɐn 	陽去22	吝, 論	2
659	lin 	陽平21	蓮, 連, 聯, 憐	4
660	lin 	陰上35	臉, 鏈	2
661	lin 	陽去22	鍊, 戀, 楝, 練	4
662	lyn 	陽平21	鸞	1
663	lyn 	陰上35	卵	1
664	lyn 	陽去22	亂	1
665	laŋ 	陽上24	冷	1
666	lɐŋ 	陽平21	稜	1
667	lɔŋ 	陽平21	郎, 廊, 狼	3
668	lɔŋ 	陽上24	朗	1
669	lɔŋ 	陽去22	浪, 晾	2
670	lɛŋ 	陽平21	靈, 鯪, 稜	3
671	lɛŋ 	陽上24	領, 嶺	2
672	lɛŋ 	陰去33	靚	1
673	leŋ 	陽平21	菱, 零, 鈴, 伶, 陵, 凌, 玲, 靈	8
674	leŋ 	陽上24	領	1
675	leŋ 	陽去22	令, 另	2
676	luŋ 	陰平55	窿	1
677	luŋ 	陽平21	籠, 嚨, 聾, 瓏, 隆, 龍	6
678	luŋ 	陰上35	攏	1
679	luŋ 	陽上24	壠, 隴	2
680	luŋ 	陽去22	弄	1
681	lap 	陽入22	蠟, 臘	2
682	lɐp 	陰入55	笠	1
683	lɐp 	陽入22	立	1
684	lip 	陽入22	獵	1
685	lat 	陽入22	辣, 邋	2
686	lɐt 	陽入22	栗	1
687	lɛt 	陽入22	列	1
688	lit 	陽入22	裂, 列, 烈	3
689	lyt 	陽入22	捋, 律	2
690	lak 	陽入22	肋	1
691	lɐk 	陽入22	簕, 肋, 勒	3
692	lɛk 	陽入22	癘	1
693	lek 	陽入22	力, 曆, 瀝, 歷	4
694	luk 	陰入55	轆, 麓	2
695	luk 	陽入22	祿, 鹿, 綠, 落, 錄, 六, 陸	7
696	kœŋ 	陰平55	姜, 薑	2
697	kœŋ 	陽去22	犟	1
698	kœk 	中入33	腳	1
699	ka 	陰平55	痂, 加, 家, 枷, 傢, 嘉, 袈	7
700	ka 	陰上35	賈, 假	2
701	ka 	陰去33	價, 稼, 嫁	3
702	kɔ 	陰平55	歌, 哥, 鍋, 戈	4
703	kɔ 	陰上35	裹, 餜, 果	3
704	kɔ 	陰去33	過, 個	2
705	kɛ 	陰去33	嘅	1
706	ki 	陰平55	飢, 肌, 饑, 幾, 機, 几, 基, 譏	8
707	ki 	陰上35	己, 幾, 紀, 杞	4
708	ki 	陰去33	記, 旣, 寄	3
709	ki 	陽去22	技, 忌, 妓	3
710	ku 	陰平55	糕, 估, 辜, 姑, 篙, 羔, 高, 膏, 孤	9
711	ku 	陰上35	鼓, 稿, 古, 股, 䀇	5
712	ku 	陰去33	雇, 故, 固, 告	4
713	ky 	陰平55	車, 居	2
714	ky 	陰上35	矩, 舉	2
715	ky 	陰去33	鋸, 句, 據	3
716	ky 	陽去22	巨, 俱, 拒, 距, 懼, 具	6
717	kai 	陰平55	階, 街, 佳, 皆	4
718	kai 	陰上35	解	1
719	kai 	陰去33	械, 介, 界, 疥, 屆, 戒, 芥	7
720	kɐi 	陰平55	雞	1
721	kɐi 	陰去33	計, 髻, 繼	3
722	kɔi 	陰平55	該, 賅	2
723	kɔi 	陰上35	改	1
724	kɔi 	陰去33	丐, 蓋	2
725	kui 	陽去22	癐	1
726	kau 	陰平55	交, 郊	2
727	kau 	陰上35	搞	1
728	kau 	陰去33	校, 教	2
729	kɐu 	陰平55	鉤, 溝, 勾	3
730	kɐu 	陰上35	九, 韭, 苟, 狗, 久	5
731	kɐu 	陰去33	購, 構, 够, 救, 灸, 媾, 彀, 究	8
732	kɐu 	陽去22	舊, 柩	2
733	kɛu 	陰平55	膠, 跤, 交	3
734	kɛu 	陰上35	攪, 絞, 狡	3
735	kɛu 	陰去33	覺, 教	2
736	kɛu 	陽去22	撬	1
737	kiu 	陰平55	驕, 嬌, 澆	3
738	kiu 	陰上35	繳, 矯	2
739	kiu 	陰去33	叫	1
740	kiu 	陽去22	轎	1
741	kam 	陰平55	監	1
742	kam 	陰上35	減, 敢, 感, 橄	4
743	kam 	陰去33	監, 鑑	2
744	kɐm 	陰平55	金, 泔, 今, 柑, 甘	5
745	kɐm 	陰上35	錦	1
746	kɐm 	陰去33	禁	1
747	kɛm 	陰上35	減	1
748	kim 	陰平55	兼	1
749	kim 	陰上35	撿	1
750	kim 	陰去33	劍	1
751	kim 	陽去22	儉	1
752	kan 	陰平55	艱, 奸, 間	3
753	kan 	陰上35	繭, 簡	2
754	kan 	陰去33	間, 澗	2
755	kɐn 	陰平55	筋, 巾, 根, 跟, 斤	5
756	kɐn 	陰上35	饉, 緊, 謹, 瑾, 僅	5
757	kɐn 	陽去22	近	1
758	kɔn 	陰平55	干, 肝, 乾, 竿	4
759	kɔn 	陰上35	擀, 稈, 桿, 趕	4
760	kɔn 	陰去33	幹	1
761	kɛn 	陰平55	艱, 間	2
762	kɛn 	陰上35	鹻, 揀, 簡	3
763	kin 	陰平55	堅	1
764	kin 	陰去33	建, 見	2
765	kin 	陽去22	腱, 健, 件, 鍵	4
766	kun 	陰平55	冠, 棺, 觀, 官	4
767	kun 	陰上35	管, 館	2
768	kun 	陰去33	灌, 冠, 貫, 罐	4
769	kyn 	陰平55	捐, 娟	2
770	kyn 	陰上35	捲	1
771	kyn 	陰去33	卷, 券, 眷, 絹	4
772	kyn 	陽去22	倦	1
773	kaŋ 	陰平55	更, 耕, 更	3
774	kɐŋ 	陰平55	粳, 更, 庚, 羹, 賡	5
775	kɐŋ 	陰上35	耿, 埂	2
776	kɐŋ 	陰去33	更	1
777	kɔŋ 	陰平55	罡, 缸, 江, 肛, 光, 岡, 崗, 綱, 剛	9
778	kɔŋ 	陰上35	講, 港, 廣	3
779	kɔŋ 	陰去33	虹, 鋼, 降, 杠	4
780	kɛŋ 	陰平55	驚	1
781	kɛŋ 	陰上35	頸	1
782	kɛŋ 	陰去33	鏡	1
783	keŋ 	陰平55	荆, 經, 驚, 京	4
784	keŋ 	陰上35	警, 境, 景	3
785	keŋ 	陰去33	敬, 勁, 兢, 竟, 徑	5
786	keŋ 	陽去22	勁	1
787	kuŋ 	陰平55	躬, 宫, 弓, 公, 攻, 功, 工, 供, 恭, 龔	10
788	kuŋ 	陰上35	鞏, 拱	2
789	kuŋ 	陰去33	貢, 汞	2
790	kuŋ 	陽去22	供, 共	2
791	kap 	中入33	裌, 甲	2
792	kɐp 	陰入55	急	1
793	kɐp 	中入33	鴿	1
794	kɐp 	陽入22	及	1
795	kɛp 	陽入22	夾	1
796	kip 	中入33	劫	1
797	kɐt 	陰入55	吉, 詰, 桔, 橘	4
798	kɔt 	中入33	葛, 割	2
799	kit 	中入33	潔, 結	2
800	kit 	陽入22	傑	1
801	kyt 	中入33	蕨, 钁, 厥	3
802	kak 	中入33	格, 革, 隔	3
803	kɔk 	中入33	閣, 各, 國, 角	4
804	kek 	陰入55	戟, 擊, 激	3
805	kek 	陽入22	極	1
806	kuk 	陰入55	谷, 穀, 鞠, 菊	4
807	kuk 	陽入22	局	1
808	kʰœŋ 	陰平55	腔, 僵, 羌, 疆	4
809	kʰœŋ 	陽平21	強	1
810	kʰœŋ 	陰上35	強, 鏹	2
811	kʰœk 	中入33	卻, 覺	2
812	kʰa 	陰平55	卡	1
813	kʰa 	陰去33	駕, 架, 假	3
814	kʰɔ 	陰平55	苛, 柯	2
815	kʰɔ 	陰上35	顆	1
816	kʰɔ 	陰去33	課	1
817	kʰɛ 	陽平21	騎, 茄	2
818	kʰi 	陽平21	其, 旗, 期, 棋, 祈, 奇, 鰭, 歧, 岐, 麒, 祁	11
819	kʰi 	陽上24	企, 徛	2
820	kʰu 	陰平55	枯, 箍	2
821	kʰu 	陽平21	瓠	1
822	kʰy 	陰平55	駒, 區, 驅, 拘	4
823	kʰy 	陽平21	渠	1
824	kʰy 	陽上24		1
825	kʰai 	陰上35	楷	1
826	kʰɐi 	陰平55	溪, 稽	2
827	kʰɐi 	陰上35	啓	1
828	kʰɐi 	陰去33	契	1
829	kʰɔi 	陰上35	凱, 鎧	2
830	kʰɔi 	陰去33	愾, 慨, 漑, 概	4
831	kʰau 	陰去33	靠	1
832	kʰɐu 	陰平55	摳	1
833	kʰɐu 	陽平21	求, 裘, 球	3
834	kʰɐu 	陽上24	舅, 臼	2
835	kʰɐu 	陰去33	構, 媾, 叩, 購, 寇, 扣	6
836	kʰɛu 	陰平55	蹺	1
837	kʰiu 	陽平21	僑, 喬, 蕎, 橋	4
838	kʰiu 	陰上35	巧	1
839	kʰiu 	陰去33	竅	1
840	kʰam 	陰平55	勘	1
841	kʰam 	陰上35	砍	1
842	kʰam 	陽上24	檻, 坎	2
843	kʰɐm 	陰平55	襟	1
844	kʰɐm 	陽平21	琴, 擒, 禽	3
845	kʰɐm 	陽上24	妗	1
846	kʰɛm 	陽平21	鉗	1
847	kʰɐn 	陽平21	勤, 芹	2
848	kʰɐn 	陽上24	近	1
849	kʰɛn 	陰平55	關	1
850	kʰɛn 	陰去33	慣	1
851	kʰin 	陽平21	虔, 乾	2
852	kʰyn 	陽平21	顴, 踡, 拳, 權	4
853	kʰɐŋ 	陰上35	齦	1
854	kʰɔŋ 	陽平21	扛, 狂	2
855	kʰɔŋ 	陰去33	礦, 抗, 曠, 况, 炕, 擴	6
856	kʰeŋ 	陰平55	傾	1
857	kʰeŋ 	陽平21	瓊, 擎, 鯨	3
858	kʰeŋ 	陰上35	頃	1
859	kʰuŋ 	陽平21	窮	1
860	kʰuŋ 	陰上35	孔, 恐	2
861	kʰuŋ 	陰去33	控	1
862	kʰɐp 	陰入55	級, 給, 吸	3
863	kʰɐt 	陰入55	咳	1
864	kʰit 	中入33	揭, 竭	2
865	kʰyt 	中入33	闕, 缺, 訣, 決	4
866	kʰɐk 	陰入55	克, 刻	2
867	kʰɔk 	中入33	郭, 確, 擴, 霍, 擱, 廓	6
868	kʰɛk 	陰入55	屐	1
869	kʰɛk 	陽入22	劇	1
870	kʰuk 	陰入55	酷, 嗑, 麴, 曲	4
871	ŋa 	陰平55	椏	1
872	ŋa 	陽平21	芽, 牙, 衙	3
873	ŋa 	陽上24	瓦	1
874	ŋɔ 	陽平21	訛, 蛾, 鵝, 俄, 峨, 娥	6
875	ŋɔ 	陽上24	我	1
876	ŋɔ 	陽去22	餓, 臥	2
877	ŋu 	陽平21	熬	1
878	ŋu 	陽去22	傲	1
879	ŋai 	陽平21	捱	1
880	ŋai 	陽去22	艾	1
881	ŋɐi 	陽平21	危, 桅	2
882	ŋɐi 	陽上24	蟻	1
883	ŋɐi 	陽去22	僞, 毅, 魏, 藝	4
884	ŋɔi 	陽去22	礙, 外	2
885	ŋau 	陽平21	熬	1
886	ŋɐu 	陰平55	勾, 鉤	2
887	ŋɐu 	陽平21	牛	1
888	ŋɐu 	陽上24	偶, 藕, 朽	3
889	ŋɛu 	陽上24	咬	1
890	ŋam 	陰平55	啱	1
891	ŋam 	陽平21	巖	1
892	ŋan 	陽平21	顔, 頑	2
893	ŋan 	陽去22	雁	1
894	ŋɐn 	陰平55	恩	1
895	ŋɐn 	陽平21	銀	1
896	ŋɔn 	陽去22	岸	1
897	ŋɛn 	陽平21	研	1
898	ŋɛn 	陽上24	眼	1
899	ŋaŋ 	陽去22	硬	1
900	ŋɔŋ 	陽平21	昂	1
901	ŋɔŋ 	陽上24	仰	1
902	ŋak 	陽入22	逆, 額	2
903	ŋɐk 	陰入55	厄, 扼, 握	3
904	ŋɐk 	陽入22	額, 兀	2
905	ŋɔk 	中入33	殼	1
906	ŋɔk 	陽入22	嶽, 齶, 樂, 岳, 學	5
907	ŋek 	陽入22	逆	1
908	hœŋ 	陰平55	香, 鄉	2
909	hœŋ 	陰上35	餉, 享, 響	3
910	hœŋ 	陰去33	向	1
911	ha 	陰平55	蝦,	2
912	ha 	陽平21	霞	1
913	ha 	陽上24	下	1
914	hɔ 	陰平55	呵	1
915	hɔ 	陽平21	河, 荷, 何	3
916	hɔ 	陰上35	可	1
917	hɔ 	陽去22	賀	1
918	hœ 	陰平55	靴	1
919	hi 	陰平55	欺, 希, 嘻, 稀, 犧	5
920	hi 	陰上35	喜, 豈, 起	3
921	hi 	陰去33	棄, 氣, 器, 汽, 戲	5
922	hu 	陰平55	呼, 蒿	2
923	hu 	陽平21	豪, 毫, 壕	3
924	hu 	陰上35	好	1
925	hu 	陰去33	好, 耗	2
926	hu 	陽去22	浩, 號	2
927	hy 	陰平55	墟, 虛, 嘘	3
928	hy 	陰上35	許	1
929	hy 	陰去33	去	1
930	hai 	陰平55	揩	1
931	hai 	陽平21	鞋, 孩, 諧	3
932	hai 	陽上24	蟹, 懈	2
933	hɐi 	陽去22	系, 繫, 係	3
934	hɔi 	陰平55	開	1
935	hɔi 	陰上35	海	1
936	hɔi 	陽去22	害, 駭, 亥	3
937	hau 	陰平55	敲, 烤	2
938	hau 	陰上35	考	1
939	hau 	陰去33	孝	1
940	hau 	陽去22	校, 效	2
941	hɐu 	陽平21	侯, 喉, 猴	3
942	hɐu 	陰上35	口	1
943	hɐu 	陽上24	厚	1
944	hɐu 	陽去22	后, 後	2
945	hɛu 	陰平55	翹	1
946	hɛu 	陽平21	姣	1
947	hiu 	陰平55	囂	1
948	hiu 	陰上35	曉	1
949	ham 	陽平21	函, 銜, 鹹, 咸	4
950	ham 	陽去22	陷, 撼, 憾	3
951	hɐm 	陰平55	堪, 欽	2
952	hɐm 	陽平21	含	1
953	hɐm 	陰去33	勘	1
954	hɛm 	陽平21	咸, 鹹	2
955	hɛm 	陰去33	喊	1
956	him 	陰平55	謙	1
957	him 	陰上35	險	1
958	him 	陰去33	歉, 欠	2
959	han 	陰平55	慳, 憨	2
960	han 	陽平21	嫻	1
961	han 	陽去22	限	1
962	hɐn 	陽平21	痕	1
963	hɐn 	陰上35	墾, 懇, 很, 狠	4
964	hɐn 	陽去22	恨	1
965	hɔn 	陰平55	看	1
966	hɔn 	陽平21	寒, 韓	2
967	hɔn 	陰上35	刊, 罕	2
968	hɔn 	陽上24	旱	1
969	hɔn 	陰去33	漢, 翰, 看	3
970	hɔn 	陽去22	銲, 汗	2
971	hɛn 	陽平21	閒	1
972	hɛn 	陰上35	蜆	1
973	hɛn 	陽去22	莧	1
974	hin 	陰平55	掀, 牽	2
975	hin 	陰上35	顯, 遣	2
976	hin 	陰去33	獻, 憲	2
977	hyn 	陰平55	軒, 圈, 掀	3
978	hyn 	陰上35	犬	1
979	hyn 	陰去33	楦, 勸	2
980	haŋ 	陰平55	坑	1
981	haŋ 	陽平21	行	1
982	hɐŋ 	陰平55	亨	1
983	hɐŋ 	陽平21	行, 衡	2
984	hɐŋ 	陰上35	肯	1
985	hɐŋ 	陽去22	杏, 幸	2
986	hɔŋ 	陰平55	慷, 糠, 康	3
987	hɔŋ 	陽平21	行, 航, 杭, 降	4
988	hɔŋ 	陰上35	巷	1
989	hɔŋ 	陽去22	項	1
990	hɛŋ 	陰平55	輕	1
991	heŋ 	陰平55	興, 卿, 兄	3
992	heŋ 	陰去33	慶, 興	2
993	huŋ 	陰平55	空, 洶, 凶, 匈, 胸, 兇	6
994	huŋ 	陽平21	紅, 虹, 宏, 洪, 鴻, 弘, 雄	7
995	huŋ 	陰上35	哄	1
996	hap 	中入33	狹, 挾, 恰	3
997	hap 	陽入22	俠, 峽, 匣	3
998	hɐp 	陽入22	盒, 合	2
999	hip 	中入33	脅, 怯, 恰, 協	4
1000	hɐt 	陰入55	吃, 屹, 迄, 訖, 乞	5
1001	hɐt 	陽入22	轄, 核, 劾	3
1002	hɔt 	中入33	喝, 渴	2
1003	hit 	中入33	歇	1
1004	hyt 	中入33	血	1
1005	hak 	中入33	客, 赫, 嚇	3
1006	hɐk 	陰入55	黑, 克	2
1007	hɛk 	中入33	吃	1
1008	huk 	陰入55	哭	1
1009	ʦœŋ 	陰平55	張, 章, 裝, 彰, 樟, 將	6
1010	ʦœŋ 	陰上35	槳, 蔣, 獎, 漲, 長	5
1011	ʦœŋ 	陰去33	醬, 障, 將, 帳, 瘴, 仗, 臟, 脹, 髒	9
1012	ʦœŋ 	陽去22	橡, 像, 丈, 匠, 象, 杖	6
1013	ʦœk 	中入33	灼, 卓, 嚼, 爵, 桌, 酌	6
1014	ʦœk 	陽入22	着	1
1015	ʦɿ 	陰平55	茲, 滋, 咨, 姿, 資	5
1016	ʦɿ 	陰上35	梓, 姊, 子, 紫	4
1017	ʦɿ 	陽去22	字, 自, 寺, 牸	4
1018	ʦa 	陰平55	抓, 渣	2
1019	ʦa 	陰去33	詐, 榨, 炸, 乍	4
1020	ʦɔ 	陰上35	左, 佐, 阻	3
1021	ʦɔ 	陽去22	座, 助	2
1022	ʦɛ 	陰平55	遮	1
1023	ʦɛ 	陰上35	姐, 者	2
1024	ʦɛ 	陰去33	蔗, 這, 借	3
1025	ʦɛ 	陽去22	謝	1
1026	ʦi 	陰平55	支, 脂, 肢, 蝴, 梔, 擠, 之, 芝, 知, 枝	10
1027	ʦi 	陰上35	止, 趾, 只, 紙, 指, 址, 旨	7
1028	ʦi 	陰去33	致, 置, 誌, 稚, 至, 痣, 志, 智	8
1029	ʦi 	陽去22	治, 痔	2
1030	ʦu 	陰平55	糟, 租, 遭	3
1031	ʦu 	陰上35	早, 祖, 棗, 組	4
1032	ʦu 	陰去33	竃, 做	2
1033	ʦu 	陽去22	皂, 造	2
1034	ʦy 	陰平55	硃, 株, 諸, 豬, 朱, 珠, 蛛	7
1035	ʦy 	陰上35	煑, 主	2
1036	ʦy 	陰去33	駐, 著, 註, 敍, 鑄, 注	6
1037	ʦy 	陽去22	序, 駐, 住, 聚, 箸	5
1038	ʦai 	陰平55	齋	1
1039	ʦai 	陰去33	債	1
1040	ʦai 	陽去22	寨	1
1041	ʦɐi 	陰平55	劑, 擠	2
1042	ʦɐi 	陰上35	仔	1
1043	ʦɐi 	陰去33	制, 際, 濟, 祭, 製	5
1044	ʦɐi 	陽去22	滯	1
1045	ʦɔi 	陰平55	哉, 災	2
1046	ʦɔi 	陰上35	載, 宰, 崽	3
1047	ʦɔi 	陰去33	再, 載	2
1048	ʦɔi 	陽去22	在	1
1049	ʦui 	陰平55	追	1
1050	ʦui 	陰上35	嘴	1
1051	ʦui 	陰去33	最, 綴, 醉	3
1052	ʦui 	陽去22	贅, 墜, 罪	3
1053	ʦau 	陰上35	爪, 找	2
1054	ʦau 	陰去33	罩	1
1055	ʦau 	陽去22	櫂	1
1056	ʦɐu 	陰平55	洲, 州, 舟, 周, 鄒	5
1057	ʦɐu 	陰上35	酒, 走, 帚	3
1058	ʦɐu 	陰去33	咒, 奏, 晝, 皺, 縐	5
1059	ʦɐu 	陽去22	袖, 驟, 就, 宙	4
1060	ʦiu 	陰平55	椒, 招, 朝, 焦, 蕉	5
1061	ʦiu 	陰上35	剿	1
1062	ʦiu 	陰去33	照	1
1063	ʦiu 	陽去22	兆, 趙	2
1064	ʦam 	陰平55	簪	1
1065	ʦam 	陰上35	斬	1
1066	ʦam 	陰去33	湛, 蘸	2
1067	ʦam 	陽去22	暫, 站	2
1068	ʦɐm 	陰平55	針, 斟	2
1069	ʦɐm 	陰上35	枕	1
1070	ʦɐm 	陰去33	浸	1
1071	ʦɐm 	陽去22	浸	1
1072	ʦɛm 	陰上35	斬	1
1073	ʦim 	陰平55	沾, 尖, 詹, 瞻	4
1074	ʦim 	陰去33	佔	1
1075	ʦim 	陽去22	漸	1
1076	ʦan 	陰上35	盞, 棧	2
1077	ʦan 	陰去33	贊	1
1078	ʦan 	陽去22	棧, 濺, 賺	3
1079	ʦɐn 	陰平55	津, 珍, 眞, 樽, 榛, 臻	6
1080	ʦɐn 	陰上35	準, 准	2
1081	ʦɐn 	陰去33	振, 晉, 震, 進, 鎮, 俊	6
1082	ʦɐn 	陽去22	盡, 陣	2
1083	ʦɛn 	陰上35	盞	1
1084	ʦin 	陰平55	煎, 氈	2
1085	ʦin 	陰上35	展, 剪	2
1086	ʦin 	陰去33	戰, 餞, 箭	3
1087	ʦin 	陽去22	賤	1
1088	ʦyn 	陰平55	遵, 尊, 磚, 專, 鑽	5
1089	ʦyn 	陰上35	轉	1
1090	ʦyn 	陰去33	鑽, 轉	2
1091	ʦyn 	陽去22	傳	1
1092	ʦaŋ 	陰平55	爭	1
1093	ʦɐŋ 	陰平55	睜, 箏, 憎, 曾, 僧, 增	6
1094	ʦɐŋ 	陰去33	甑	1
1095	ʦɐŋ 	陽去22	贈	1
1096	ʦɔŋ 	陰平55	樁, 髒, 贓, 裝, 莊, 妝	6
1097	ʦɔŋ 	陰去33	葬, 壯	2
1098	ʦɔŋ 	陽去22	狀, 撞, 臟, 藏	4
1099	ʦɛŋ 	陰平55	精	1
1100	ʦɛŋ 	陰上35	井	1
1101	ʦɛŋ 	陰去33	正	1
1102	ʦɛŋ 	陽去22	淨	1
1103	ʦeŋ 	陰平55	睛, 晶, 貞, 征, 偵, 正, 蒸, 精	8
1104	ʦeŋ 	陰上35	整, 拯	2
1105	ʦeŋ 	陰去33	證, 症, 正, 政	4
1106	ʦeŋ 	陽去22	淨, 靜, 剩, 鄭	4
1107	ʦuŋ 	陰平55	中, 鬃, 綜, 椶, 宗, 忠, 鍾, 衷, 淙, 終, 蹤, 鐘, 盅	13
1108	ʦuŋ 	陰上35	腫, 總, 種	3
1109	ʦuŋ 	陰去33	中, 眾, 縱, 糉, 種	5
1110	ʦuŋ 	陽去22	頌, 仲, 重, 誦	4
1111	ʦap 	中入33	眨	1
1112	ʦap 	陽入22	雜, 閘, 鍘	3
1113	ʦɐp 	陰入55	汁, 執	2
1114	ʦɐp 	陽入22	習, 集	2
1115	ʦip 	中入33	褶, 接, 摺	3
1116	ʦat 	中入33	札, 軋, 紮	3
1117	ʦɐt 	陰入55	卒, 質	2
1118	ʦɐt 	陽入22	姪, 疾, 蒺	3
1119	ʦit 	中入33	浙, 睫, 折, 哲, 捷, 節, 摺	7
1120	ʦit 	陽入22	截	1
1121	ʦyt 	陰入55	卒	1
1122	ʦyt 	陽入22	絕, 拙	2
1123	ʦak 	中入33	責, 窄	2
1124	ʦak 	陽入22	摘, 擇, 澤, 宅	4
1125	ʦɐk 	陰入55	鯽, 仄, 側, 則	4
1126	ʦɔk 	中入33	捉, 作, 昨	3
1127	ʦɔk 	陽入22	鑿, 昨	2
1128	ʦɛk 	中入33	脊, 隻	2
1129	ʦɛk 	陽入22	席	1
1130	ʦek 	陰入55	跡, 積, 擲, 績, 炙, 即, 織, 職	8
1131	ʦek 	中入33	隻	1
1132	ʦek 	陽入22	殖, 植, 蟄, 夕, 直, 稷, 寂, 藉, 值, 席	10
1133	ʦuk 	陰入55	鐲, 燭, 祝, 蜀, 竹, 囑, 足, 粥	8
1134	ʦuk 	陽入22	續, 族, 軸, 濁	4
1135	ʦʰœŋ 	陰平55	昌, 倡, 槍	3
1136	ʦʰœŋ 	陽平21	嘗, 償, 嫦, 常, 祥, 牆, 薔, 翔, 詳, 長, 場, 腸, 嬙	13
1137	ʦʰœŋ 	陰上35	搶	1
1138	ʦʰœŋ 	陰去33	暢, 嗆, 唱	3
1139	ʦʰœk 	中入33	雀, 鵲	2
1140	ʦʰɿ 	陰平55	疵, 雌	2
1141	ʦʰɿ 	陽平21	飼, 瓷, 雌, 詞, 辭, 慈, 磁, 祠, 餈	9
1142	ʦʰɿ 	陰上35	此	1
1143	ʦʰɿ 	陽上24	似	1
1144	ʦʰɿ 	陰去33	廁, 賜, 次, 刺	4
1145	ʦʰɿ 	陽去22	嗣	1
1146	ʦʰa 	陰平55	叉, 杈, 差	3
1147	ʦʰa 	陽平21	查, 茶, 搽	3
1148	ʦʰa 	陰上35	鑔	1
1149	ʦʰa 	陰去33	岔	1
1150	ʦʰɔ 	陰平55	初, 搓	2
1151	ʦʰɔ 	陽平21	鋤	1
1152	ʦʰɔ 	陰上35	楚, 礎	2
1153	ʦʰɔ 	陽上24	坐	1
1154	ʦʰɔ 	陰去33	措, 錯, 銼	3
1155	ʦʰɛ 	陰平55	車	1
1156	ʦʰɛ 	陽平21	斜, 邪	2
1157	ʦʰɛ 	陰上35	扯, 且	2
1158	ʦʰi 	陰平55	癡	1
1159	ʦʰi 	陽平21	池, 馳, 匙, 遲, 持, 臍	6
1160	ʦʰi 	陰上35	齒, 侈, 矢, 恥	4
1161	ʦʰi 	陽去22	翅	1
1162	ʦʰu 	陰平55	粗, 操	2
1163	ʦʰu 	陽平21	曹, 巢, 槽	3
1164	ʦʰu 	陰上35	草, 騲	2
1165	ʦʰu 	陰去33	糙, 醋, 躁	3
1166	ʦʰy 	陰平55	蛆, 趨	2
1167	ʦʰy 	陽平21	徐, 廚, 儲, 除	4
1168	ʦʰy 	陰上35	取, 娶	2
1169	ʦʰy 	陽上24	柱	1
1170	ʦʰy 	陰去33	處, 趣	2
1171	ʦʰai 	陰平55	搋, 釵, 差, 猜	4
1172	ʦʰai 	陽平21	柴	1
1173	ʦʰai 	陰上35	踩	1
1174	ʦʰɐi 	陰平55	妻, 棲, 淒	3
1175	ʦʰɐi 	陽平21	齊	1
1176	ʦʰɐi 	陰去33	砌	1
1177	ʦʰɔi 	陽平21	纔, 裁, 材, 才, 財	5
1178	ʦʰɔi 	陰上35	睬, 彩, 採	3
1179	ʦʰɔi 	陰去33	蔡, 菜	2
1180	ʦʰui 	陰平55	崔, 炊, 催, 摧, 吹	5
1181	ʦʰui 	陽平21	陲, 垂, 隨, 槌, 錘, 棰, 捶	7
1182	ʦʰui 	陰去33	悴, 淬, 脆, 粹, 翠	5
1183	ʦʰau 	陰平55	鈔	1
1184	ʦʰau 	陽平21	巢	1
1185	ʦʰau 	陰上35	吵, 抄	2
1186	ʦʰɐu 	陰平55	秋, 抽	2
1187	ʦʰɐu 	陽平21	愁, 囚, 綢, 仇, 酬, 稠, 籌	7
1188	ʦʰɐu 	陰上35	丑, 醜	2
1189	ʦʰɐu 	陰去33	臭, 湊	2
1190	ʦʰiu 	陰平55	昭, 鍬, 悄, 超	4
1191	ʦʰiu 	陽平21	潮, 朝	2
1192	ʦʰiu 	陰去33	俏	1
1193	ʦʰam 	陰平55	參	1
1194	ʦʰam 	陰上35	慘	1
1195	ʦʰam 	陰去33	杉	1
1196	ʦʰɐm 	陰平55	摻, 侵	2
1197	ʦʰɐm 	陽平21	尋, 覃, 沉	3
1198	ʦʰɐm 	陰上35	寢	1
1199	ʦʰɛm 	陰平55	鵮	1
