ID	TXT_ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
585	C567	森	森	sɐm55	ʃɐm55	sam1	2003年侯精一《現代漢語方言音庫(字庫)》P228，229		
586	C568	臻	臻	tsɐn55	tʃɐn55	zan1	2003年侯精一《現代漢語方言音庫(字庫)》P228，229		
587	C569	沉	沉	tsʰɐm21	tʃʰɐm21	cam4	2003年侯精一《現代漢語方言音庫(字庫)》P228，229		
588	C570	辰	辰	sɐn21	ʃɐn21	san4	2003年侯精一《現代漢語方言音庫(字庫)》P228，229		
589	C571	陳	陈	tsʰɐn21	tʃʰɐn21	can4	2003年侯精一《現代漢語方言音庫(字庫)》P230，231		
590	C572	晨	晨	sɐn21	ʃɐn21	san4	2003年侯精一《現代漢語方言音庫(字庫)》P230，231		
591	C573	襯	衬	tsʰɐn33	tʃʰɐn33	can3	2003年侯精一《現代漢語方言音庫(字庫)》P230，231		
592	C574	身	身	sɐn55	ʃɐn55	san1	2003年侯精一《現代漢語方言音庫(字庫)》P230，231		
593	C575	神	神	sɐn21	ʃɐn21	san4	2003年侯精一《現代漢語方言音庫(字庫)》P230，231		
594	C576	審	审	sɐm35	ʃɐm35	sam2	2003年侯精一《現代漢語方言音庫(字庫)》P232，233		
595	C577	人	人	jɐn21	jɐn21	jan4	2003年侯精一《現代漢語方言音庫(字庫)》P232，233		
596	C578	壬	壬	jɐm21	jɐm21	jam4	2003年侯精一《現代漢語方言音庫(字庫)》P232，233		
597	C579	任	任	jɐm22	jɐm22	jam6	2003年侯精一《現代漢語方言音庫(字庫)》P232，233	姓～。	
598	C580	忍	忍	jɐn24	jɐn24	jan5	2003年侯精一《現代漢語方言音庫(字庫)》P232，233		
599	C581	任	任	jɐm22	jɐm22	jam6	2003年侯精一《現代漢語方言音庫(字庫)》P234，235	責～。	
600	C582	跟	跟	kɐn55	kɐn55	gan1	2003年侯精一《現代漢語方言音庫(字庫)》P234，235		
601	C583	肯	肯	hɐŋ35	hɐŋ35	hang2	2003年侯精一《現代漢語方言音庫(字庫)》P234，235		
602	C584	恨	恨	hɐn22	hɐn22	han6	2003年侯精一《現代漢語方言音庫(字庫)》P234，235		
603	C585	恩	恩	ɐn55	∅ɐn55	an1	2003年侯精一《現代漢語方言音庫(字庫)》P234，235		
604	C586	貧	贫	pʰɐn21	pʰɐn21	pan4	2003年侯精一《現代漢語方言音庫(字庫)》P236，237		
605	C587	敏	敏	mɐn24	mɐn24	man5	2003年侯精一《現代漢語方言音庫(字庫)》P236，237		
606	C588	鄰	邻	lɐn21	lɐn21	lan4	2003年侯精一《現代漢語方言音庫(字庫)》P236，237		
607	C589	林	林	lɐm21	lɐm21	lam4	2003年侯精一《現代漢語方言音庫(字庫)》P236，237		
608	C590	巾	巾	kɐn55	kɐn55	gan1	2003年侯精一《現代漢語方言音庫(字庫)》P236，237		
609	C591	斤	斤	kɐn55	kɐn55	gan1	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
610	C592	金	金	kɐm55	kɐm55	gam1	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
611	C593	近	近	kʰɐn24	kʰɐn24	kan5	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
612	C593	近	近	kɐn22	kɐn22	gan6	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
613	C594	心	心	ɬɐm55	ɬɐm55	slam1	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
614	C595	欣	欣	jɐn55	jɐn55	jan1	2003年侯精一《現代漢語方言音庫(字庫)》P238，239		
615	C596	新	新	ɬɐn55	ɬɐn55	slan1	2003年侯精一《現代漢語方言音庫(字庫)》P240，241		
616	C597	因	因	jɐn55	jɐn55	jan1	2003年侯精一《現代漢語方言音庫(字庫)》P240，241		
617	C598	音	音	jɐm55	jɐm55	jam1	2003年侯精一《現代漢語方言音庫(字庫)》P240，241		
618	C599	銀	银	ŋɐn21	ŋɐn21	ngan4	2003年侯精一《現代漢語方言音庫(字庫)》P240，241		
619	C600	隱	隐	jɐn35	jɐn35	jan2	2003年侯精一《現代漢語方言音庫(字庫)》P240，241		
620	C601	頓	顿	tɐn22	tɐn22	dan6	2003年侯精一《現代漢語方言音庫(字庫)》P242，243		
621	C602	吞	吞	tʰɐn55	tʰɐn55	tan1	2003年侯精一《現代漢語方言音庫(字庫)》P242，243		
622	C603	遵	遵	tsyn55	tʃyn55	zyun1	2003年侯精一《現代漢語方言音庫(字庫)》P242，243		
623	C604	存	存	tsʰyn21	tʃʰyn21	cyun4	2003年侯精一《現代漢語方言音庫(字庫)》P242，243		
624	C605	孫	孙	ɬyn55	ɬyn55	slyun1	2003年侯精一《現代漢語方言音庫(字庫)》P242，243		
625	C606	筍	笋	ɬɐn35	ɬɐn35	slan2	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
626	C606	筍	笋	ɬyn35	ɬyn35	slyun2	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
627	C607	春	春	tsʰɐn55	tʃʰɐn55	can1	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
628	C607	春	春	tsʰyn55	tʃʰyn55	cyun1	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
629	C608	椿	椿	tsʰɐn55	tʃʰɐn55	can1	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
630	C609	純	纯	syn21	ʃyn21	syun4	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
631	C610	脣	唇	sɐn21	ʃɐn21	san4	2003年侯精一《現代漢語方言音庫(字庫)》P244，245		
632	C611	順	顺	syn22	ʃyn22	syun6	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
633	C611	順	顺	sɐn22	ʃɐn22	san6	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
634	C612	閏	闰	yn22	jyn22	jyun6	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
635	C612	閏	闰	jɐn22	jɐn22	jan6	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
636	C613	滾	滚	kʷɐn35	kʷɐn35	gwan2	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
637	C614	坤	坤	kʰʷɐn55	kʷʰɐn55	kwan1	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
638	C615	昏	昏	wɐn55	wɐn55	wan1	2003年侯精一《現代漢語方言音庫(字庫)》P246，247		
639	C616	溫	温	wɐn55	wɐn55	wan1	2003年侯精一《現代漢語方言音庫(字庫)》P248，249		
640	C617	文	文	mɐn21	mɐn21	man4	2003年侯精一《現代漢語方言音庫(字庫)》P248，249		
641	C618	君	君	kʷɐn55	kʷɐn55	gwan1	2003年侯精一《現代漢語方言音庫(字庫)》P248，249		
642	C619	均	均	kʰʷɐn55	kʷʰɐn55	kwan1	2003年侯精一《現代漢語方言音庫(字庫)》P248，249		
643	C620	尋	寻	tsʰɐm21	tʃʰɐm21	cam4	2003年侯精一《現代漢語方言音庫(字庫)》P248，249		
644	C621	旬	旬	ɬɐn21	ɬɐn21	slan4	2003年侯精一《現代漢語方言音庫(字庫)》P250，251		
645	C622	雲	云	wɐn21	wɐn21	wan4	2003年侯精一《現代漢語方言音庫(字庫)》P250，251		
646	C623	允	允	wɐn35	wɐn35	wan2	2003年侯精一《現代漢語方言音庫(字庫)》P250，251		
647	C624	邦	邦	pɔŋ55	pɔŋ55	bong1	2003年侯精一《現代漢語方言音庫(字庫)》P250，251		
648	C625	旁	旁	pʰɔŋ21	pʰɔŋ21	pong4	2003年侯精一《現代漢語方言音庫(字庫)》P250，251		
649	C626	芳	芳	fɔŋ55	fɔŋ55	fong1	2003年侯精一《現代漢語方言音庫(字庫)》P252，253		
650	C627	放	放	fɔŋ33	fɔŋ33	fong3	2003年侯精一《現代漢語方言音庫(字庫)》P252，253		
651	C628	當	当	tɔŋ55	tɔŋ55	dong1	2003年侯精一《現代漢語方言音庫(字庫)》P252，253		
652	C629	湯	汤	tʰɔŋ55	tʰɔŋ55	tong1	2003年侯精一《現代漢語方言音庫(字庫)》P252，253		
653	C630	糖	糖	tʰɔŋ21	tʰɔŋ21	tong4	2003年侯精一《現代漢語方言音庫(字庫)》P252，253		
654	C631	堂	堂	tʰɔŋ21	tʰɔŋ21	tong4	2003年侯精一《現代漢語方言音庫(字庫)》P254，255		
655	C632	桑	桑	ɬɔŋ55	ɬɔŋ55	slong1	2003年侯精一《現代漢語方言音庫(字庫)》P254，255		
656	C633	張	张	tsœŋ55	tʃœŋ55	zoeng1	2003年侯精一《現代漢語方言音庫(字庫)》P254，255		
657	C634	長	长	tsʰœŋ21	tʃʰœŋ21	coeng4	2003年侯精一《現代漢語方言音庫(字庫)》P254，255	～短。	
658	C635	腸	肠	tsʰœŋ21	tʃʰœŋ21	coeng4	2003年侯精一《現代漢語方言音庫(字庫)》P254，255		原文誤作[tsʰɔŋ21]。
659	C636	常	常	tsʰœŋ21	tʃʰœŋ21	coeng4	2003年侯精一《現代漢語方言音庫(字庫)》P256，257		
660	C637	唱	唱	tsʰœŋ33	tʃʰœŋ33	coeng3	2003年侯精一《現代漢語方言音庫(字庫)》P256，257		
661	C638	讓	让	jœŋ22	jœŋ22	joeng6	2003年侯精一《現代漢語方言音庫(字庫)》P256，257		
662	C639	抗	抗	kʰɔŋ33	kʰɔŋ33	kong3	2003年侯精一《現代漢語方言音庫(字庫)》P256，257		
663	C640	行	行	hɔŋ21	hɔŋ21	hong4	2003年侯精一《現代漢語方言音庫(字庫)》P256，257		
664	C641	娘	娘	nœŋ21	nœŋ21	noeng4	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
665	C641	娘	娘	nɛŋ55	nɛŋ55	neng1	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
666	C641	孃	娘	nœŋ21	nœŋ21	noeng4	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		原文作「娘」字。
667	C641	孃	娘	nɛŋ55	nɛŋ55	neng1	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		原文作「娘」字。
668	C642	亮	亮	lœŋ22	lœŋ22	loeng6	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
669	C643	江	江	kɔŋ55	kɔŋ55	gong1	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
670	C644	講	讲	kɔŋ35	kɔŋ35	gong2	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
671	C645	香	香	hœŋ55	hœŋ55	hoeng1	2003年侯精一《現代漢語方言音庫(字庫)》P258，259		
672	C646	詳	详	tsʰœŋ21	tʃʰœŋ21	coeng4	2003年侯精一《現代漢語方言音庫(字庫)》P260，261		
673	C647	祥	祥	tsʰœŋ21	tʃʰœŋ21	coeng4	2003年侯精一《現代漢語方言音庫(字庫)》P260，261		
674	C648	巷	巷	hɔŋ35	hɔŋ35	hong2	2003年侯精一《現代漢語方言音庫(字庫)》P260，261		
675	C649	央	央	jœŋ55	jœŋ55	joeng1	2003年侯精一《現代漢語方言音庫(字庫)》P260，261		
676	C650	羊	羊	jœŋ21	jœŋ21	joeng4	2003年侯精一《現代漢語方言音庫(字庫)》P260，261		
677	C651	仰	仰	jœŋ24	jœŋ24	joeng5	2003年侯精一《現代漢語方言音庫(字庫)》P262，263		
678	C652	莊	庄	tsɔŋ55	tʃɔŋ55	zong1	2003年侯精一《現代漢語方言音庫(字庫)》P262，263		
679	C653	樁	桩	tsɔŋ55	tʃɔŋ55	zong1	2003年侯精一《現代漢語方言音庫(字庫)》P262，263		
680	C654	狀	状	tsɔŋ22	tʃɔŋ22	zong6	2003年侯精一《現代漢語方言音庫(字庫)》P262，263		
681	C655	窗	窗	tsʰɔŋ55	tʃʰɔŋ55	cong1	2003年侯精一《現代漢語方言音庫(字庫)》P262，263		
682	C656	牀	床	tsʰɔŋ21	tʃʰɔŋ21	cong4	2003年侯精一《現代漢語方言音庫(字庫)》P264，265		
683	C657	雙	双	sœŋ55	ʃœŋ55	soeng1	2003年侯精一《現代漢語方言音庫(字庫)》P264，265		
684	C658	光	光	kɔŋ55	kɔŋ55	gong1	2003年侯精一《現代漢語方言音庫(字庫)》P264，265		
685	C659	筐	筐	hɔŋ55	hɔŋ55	hong1	2003年侯精一《現代漢語方言音庫(字庫)》P264，265		
686	C660	狂	狂	kʰɔŋ21	kʰɔŋ21	kong4	2003年侯精一《現代漢語方言音庫(字庫)》P264，265		
687	C661	黃	黄	wɔŋ21	wɔŋ21	wong4	2003年侯精一《現代漢語方言音庫(字庫)》P266，267		
688	C662	汪	汪	wɔŋ55	wɔŋ55	wong1	2003年侯精一《現代漢語方言音庫(字庫)》P266，267		
689	C663	往	往	wɔŋ24	wɔŋ24	wong5	2003年侯精一《現代漢語方言音庫(字庫)》P266，267	來～。	
690	C664	枉	枉	wɔŋ35	wɔŋ35	wong2	2003年侯精一《現代漢語方言音庫(字庫)》P266，267		
691	C665	網	网	mɔŋ24	mɔŋ24	mong5	2003年侯精一《現代漢語方言音庫(字庫)》P266，267		
692	C666	忘	忘	mɔŋ21	mɔŋ21	mong4	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
693	C666	忘	忘	mɔŋ22	mɔŋ22	mong6	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
694	C667	崩	崩	pɐŋ55	pɐŋ55	bang1	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
695	C668	朋	朋	pʰɐŋ21	pʰɐŋ21	pang4	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
696	C669	彭	彭	pʰaŋ21	pʰaŋ21	paang4	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
697	C670	棚	棚	pʰaŋ21	pʰaŋ21	paang4	2003年侯精一《現代漢語方言音庫(字庫)》P268，269		
698	C671	孟	孟	mɐŋ22	mɐŋ22	mang6	2003年侯精一《現代漢語方言音庫(字庫)》P270，271		
699	C672	夢	梦	muŋ22	mʊŋ22	mung6	2003年侯精一《現代漢語方言音庫(字庫)》P270，271		
700	C673	風	风	fuŋ55	fʊŋ55	fung1	2003年侯精一《現代漢語方言音庫(字庫)》P270，271		
701	C674	封	封	fuŋ55	fʊŋ55	fung1	2003年侯精一《現代漢語方言音庫(字庫)》P270，271		
702	C675	等	等	tɐŋ35	tɐŋ35	dang2	2003年侯精一《現代漢語方言音庫(字庫)》P270，271		
703	C676	鄧	邓	tɐŋ22	tɐŋ22	dang6	2003年侯精一《現代漢語方言音庫(字庫)》P272，273		
704	C677	能	能	nɐŋ21	nɐŋ21	nang4	2003年侯精一《現代漢語方言音庫(字庫)》P272，273		
705	C678	冷	冷	laŋ24	laŋ24	laang5	2003年侯精一《現代漢語方言音庫(字庫)》P272，273		
706	C679	增	增	tsɐŋ55	tʃɐŋ55	zang1	2003年侯精一《現代漢語方言音庫(字庫)》P272，273		
707	C680	爭	争	tsaŋ55	tʃaŋ55	zaang1	2003年侯精一《現代漢語方言音庫(字庫)》P272，273		
708	C681	徵	征	tseŋ55	tʃeŋ55	zing1	2003年侯精一《現代漢語方言音庫(字庫)》P274，275		原文作「徵」字。
709	C682	鄭	郑	tseŋ22	tʃeŋ22	zing6	2003年侯精一《現代漢語方言音庫(字庫)》P274，275		
710	C683	政	政	tseŋ33	tʃeŋ33	zing3	2003年侯精一《現代漢語方言音庫(字庫)》P274，275		
711	C684	撐	撑	tsʰaŋ55	tʃʰaŋ55	caang1	2003年侯精一《現代漢語方言音庫(字庫)》P274，275		
712	C685	成	成	seŋ21	ʃeŋ21	sing4	2003年侯精一《現代漢語方言音庫(字庫)》P274，275		
713	C686	承	承	seŋ21	ʃeŋ21	sing4	2003年侯精一《現代漢語方言音庫(字庫)》P276，277		
714	C687	乘	乘	seŋ21	ʃeŋ21	sing4	2003年侯精一《現代漢語方言音庫(字庫)》P276，277		
715	C688	橙	橙	tsʰaŋ35	tʃʰaŋ35	caang2	2003年侯精一《現代漢語方言音庫(字庫)》P276，277		
716	C689	生	生	saŋ55	ʃaŋ55	saang1	2003年侯精一《現代漢語方言音庫(字庫)》P276，277		
717	C690	繩	绳	seŋ21	ʃeŋ21	sing4	2003年侯精一《現代漢語方言音庫(字庫)》P276，277		
718	C691	剩	剩	tseŋ22	tʃeŋ22	zing6	2003年侯精一《現代漢語方言音庫(字庫)》P278，279		
719	C692	更	更	kɐŋ55	kɐŋ55	gang1	2003年侯精一《現代漢語方言音庫(字庫)》P278，279	～換。	
720	C693	更	更	kɐŋ33	kɐŋ33	gang3	2003年侯精一《現代漢語方言音庫(字庫)》P278，279	～加。	
721	C694	耕	耕	kaŋ55	kaŋ55	gaang1	2003年侯精一《現代漢語方言音庫(字庫)》P278，279		
722	C695	坑	坑	haŋ55	haŋ55	haang1	2003年侯精一《現代漢語方言音庫(字庫)》P278，279		
723	C696	恆	恒	hɐŋ21	hɐŋ21	hang4	2003年侯精一《現代漢語方言音庫(字庫)》P280，281		
724	C697	橫	横	waŋ21	waŋ21	waang4	2003年侯精一《現代漢語方言音庫(字庫)》P280，281	～豎。	
725	C698	橫	横	waŋ21	waŋ21	waang4	2003年侯精一《現代漢語方言音庫(字庫)》P280，281	蠻～。	
726	C699	冰	冰	peŋ55	peŋ55	bing1	2003年侯精一《現代漢語方言音庫(字庫)》P280，281		
727	C700	兵	兵	peŋ55	peŋ55	bing1	2003年侯精一《現代漢語方言音庫(字庫)》P280，281		
728	C701	平	平	pʰeŋ21	pʰeŋ21	ping4	2003年侯精一《現代漢語方言音庫(字庫)》P282，283		
729	C702	瓶	瓶	pʰeŋ21	pʰeŋ21	ping4	2003年侯精一《現代漢語方言音庫(字庫)》P282，283		
730	C703	名	名	mɛŋ21	mɛŋ21	meng4	2003年侯精一《現代漢語方言音庫(字庫)》P282，283		
731	C704	頂	顶	tɛŋ35	tɛŋ35	deng2	2003年侯精一《現代漢語方言音庫(字庫)》P282，283		
732	C705	寧	宁	neŋ21	neŋ21	ning4	2003年侯精一《現代漢語方言音庫(字庫)》P282，283		
733	C706	凝	凝	neŋ21	neŋ21	ning4	2003年侯精一《現代漢語方言音庫(字庫)》P284，285		
734	C707	陵	陵	leŋ21	leŋ21	ling4	2003年侯精一《現代漢語方言音庫(字庫)》P284，285		
735	C708	令	令	leŋ22	leŋ22	ling6	2003年侯精一《現代漢語方言音庫(字庫)》P284，285		
736	C709	京	京	keŋ55	keŋ55	ging1	2003年侯精一《現代漢語方言音庫(字庫)》P284，285		
737	C710	經	经	keŋ55	keŋ55	ging1	2003年侯精一《現代漢語方言音庫(字庫)》P284，285		
738	C711	輕	轻	hɛŋ55	hɛŋ55	heng1	2003年侯精一《現代漢語方言音庫(字庫)》P286，287		
739	C712	清	清	tsʰɛŋ55	tʃʰɛŋ55	ceng1	2003年侯精一《現代漢語方言音庫(字庫)》P286，287		
740	C713	慶	庆	heŋ33	heŋ33	hing3	2003年侯精一《現代漢語方言音庫(字庫)》P286，287		
741	C714	興	兴	heŋ55	heŋ55	hing1	2003年侯精一《現代漢語方言音庫(字庫)》P286，287	～旺。	
742	C715	興	兴	heŋ33	heŋ33	hing3	2003年侯精一《現代漢語方言音庫(字庫)》P286，287	高～。	
743	C716	星	星	ɬɛŋ55	ɬɛŋ55	sleng1	2003年侯精一《現代漢語方言音庫(字庫)》P288，289		
744	C716	星	星	ɬeŋ55	ɬeŋ55	sling1	2003年侯精一《現代漢語方言音庫(字庫)》P288，289		
745	C717	形	形	jeŋ21	jeŋ21	jing4	2003年侯精一《現代漢語方言音庫(字庫)》P288，289		
746	C718	杏	杏	hɐŋ22	hɐŋ22	hang6	2003年侯精一《現代漢語方言音庫(字庫)》P288，289		
747	C719	幸	幸	hɐŋ22	hɐŋ22	hang6	2003年侯精一《現代漢語方言音庫(字庫)》P288，289		
748	C720	應	应	jeŋ55	jeŋ55	jing1	2003年侯精一《現代漢語方言音庫(字庫)》P288，289	～該。	
749	C721	應	应	jeŋ33	jeŋ33	jing3	2003年侯精一《現代漢語方言音庫(字庫)》P290，291	～對。	
750	C722	英	英	jeŋ55	jeŋ55	jing1	2003年侯精一《現代漢語方言音庫(字庫)》P290，291		
751	C723	鶯	莺	jeŋ55	jeŋ55	jing1	2003年侯精一《現代漢語方言音庫(字庫)》P290，291		
752	C724	櫻	樱	jeŋ55	jeŋ55	jing1	2003年侯精一《現代漢語方言音庫(字庫)》P290，291		
753	C725	盈	盈	jeŋ21	jeŋ21	jing4	2003年侯精一《現代漢語方言音庫(字庫)》P290，291		
754	C726	營	营	jeŋ21	jeŋ21	jing4	2003年侯精一《現代漢語方言音庫(字庫)》P292，293		
755	C727	硬	硬	ŋaŋ22	ŋaŋ22	ngaang6	2003年侯精一《現代漢語方言音庫(字庫)》P292，293		
756	C728	翁	翁	juŋ55	jʊŋ55	jung1	2003年侯精一《現代漢語方言音庫(字庫)》P292，293		
757	C729	冬	冬	tuŋ55	tʊŋ55	dung1	2003年侯精一《現代漢語方言音庫(字庫)》P292，293		
758	C730	洞	洞	tuŋ22	tʊŋ22	dung6	2003年侯精一《現代漢語方言音庫(字庫)》P292，293		
759	C731	農	农	nuŋ21	nʊŋ21	nung4	2003年侯精一《現代漢語方言音庫(字庫)》P294，295		
760	C732	龍	龙	luŋ21	lʊŋ21	lung4	2003年侯精一《現代漢語方言音庫(字庫)》P294，295		
761	C733	籠	笼	luŋ21	lʊŋ21	lung4	2003年侯精一《現代漢語方言音庫(字庫)》P294，295		
762	C734	隆	隆	luŋ21	lʊŋ21	lung4	2003年侯精一《現代漢語方言音庫(字庫)》P294，295		
763	C735	糉	粽	tsuŋ33	tʃʊŋ33	zung3	2003年侯精一《現代漢語方言音庫(字庫)》P294，295		
764	C736	宗	宗	tsuŋ55	tʃʊŋ55	zung1	2003年侯精一《現代漢語方言音庫(字庫)》P296，297		
765	C737	鬆	松	ɬuŋ55	ɬʊŋ55	slung1	2003年侯精一《現代漢語方言音庫(字庫)》P296，297		
766	C738	宋	宋	ɬuŋ33	ɬʊŋ33	slung3	2003年侯精一《現代漢語方言音庫(字庫)》P296，297		
767	C739	誦	诵	tsuŋ22	tʃʊŋ22	zung6	2003年侯精一《現代漢語方言音庫(字庫)》P296，297		
768	C740	送	送	ɬuŋ33	ɬʊŋ33	slung3	2003年侯精一《現代漢語方言音庫(字庫)》P296，297		
769	C741	中	中	tsuŋ55	tʃʊŋ55	zung1	2003年侯精一《現代漢語方言音庫(字庫)》P298，299		
770	C742	鍾	钟	tsuŋ55	tʃʊŋ55	zung1	2003年侯精一《現代漢語方言音庫(字庫)》P298，299		
771	C743	充	充	tsʰuŋ55	tʃʰʊŋ55	cung1	2003年侯精一《現代漢語方言音庫(字庫)》P298，299		
772	C744	絨	绒	juŋ21	jʊŋ21	jung4	2003年侯精一《現代漢語方言音庫(字庫)》P298，299		
773	C745	茸	茸	juŋ21	jʊŋ21	jung4	2003年侯精一《現代漢語方言音庫(字庫)》P298，299		
774	C746	榮	荣	juŋ21	jʊŋ21	jung4	2003年侯精一《現代漢語方言音庫(字庫)》P300，301		
775	C747	融	融	juŋ21	jʊŋ21	jung4	2003年侯精一《現代漢語方言音庫(字庫)》P300，301		
776	C748	弓	弓	kuŋ55	kʊŋ55	gung1	2003年侯精一《現代漢語方言音庫(字庫)》P300，301		
777	C749	公	公	kuŋ55	kʊŋ55	gung1	2003年侯精一《現代漢語方言音庫(字庫)》P300，301		
778	C750	宮	宫	kuŋ55	kʊŋ55	gung1	2003年侯精一《現代漢語方言音庫(字庫)》P300，301		
779	C751	恭	恭	kuŋ55	kʊŋ55	gung1	2003年侯精一《現代漢語方言音庫(字庫)》P302，303		
780	C752	共	共	kuŋ22	kʊŋ22	gung6	2003年侯精一《現代漢語方言音庫(字庫)》P302，303		
781	C753	空	空	huŋ55	hʊŋ55	hung1	2003年侯精一《現代漢語方言音庫(字庫)》P302，303		
782	C754	轟	轰	kʰʷɐŋ55	kʷʰɐŋ55	kwang1	2003年侯精一《現代漢語方言音庫(字庫)》P302，303		
783	C755	弘	弘	huŋ21	hʊŋ21	hung4	2003年侯精一《現代漢語方言音庫(字庫)》P302，303		
784	C756	紅	红	huŋ21	hʊŋ21	hung4	2003年侯精一《現代漢語方言音庫(字庫)》P304，305		
785	C757	宏	宏	huŋ21	hʊŋ21	hung4	2003年侯精一《現代漢語方言音庫(字庫)》P304，305		
786	C758	窮	穷	kʰuŋ21	kʰʊŋ21	kung4	2003年侯精一《現代漢語方言音庫(字庫)》P304，305		
787	C759	瓊	琼	kʰeŋ21	kʰeŋ21	king4	2003年侯精一《現代漢語方言音庫(字庫)》P304，305		
788	C760	兄	兄	heŋ55	heŋ55	hing1	2003年侯精一《現代漢語方言音庫(字庫)》P304，305		
789	C761	胸	胸	huŋ55	hʊŋ55	hung1	2003年侯精一《現代漢語方言音庫(字庫)》P306，307		
790	C762	永	永	weŋ24	weŋ24	wing5	2003年侯精一《現代漢語方言音庫(字庫)》P306，307		
791	C763	勇	勇	juŋ24	jʊŋ24	jung5	2003年侯精一《現代漢語方言音庫(字庫)》P306，307		
792	C764	用	用	juŋ22	jʊŋ22	jung6	2003年侯精一《現代漢語方言音庫(字庫)》P306，307		
793	T1	打	打	ta35	ta35	daa2	2003年侯精一《現代漢語方言音庫(字庫)》P309，310		
794	T2	大	大	tai22	tai22	daai6	2003年侯精一《現代漢語方言音庫(字庫)》P309，310	～小。	
795	T3	踏	踏	tap2	tap2	daap6	2003年侯精一《現代漢語方言音庫(字庫)》P309，310		
796	T4	拉	拉	lai55	lai55	laai1	2003年侯精一《現代漢語方言音庫(字庫)》P309，310		
797	T5	甲	甲	kɛp3	kɛp3	gep3	2003年侯精一《現代漢語方言音庫(字庫)》P309，310	指～。	
798	T6	假	假	kʰa33	kʰa33	kaa3	2003年侯精一《現代漢語方言音庫(字庫)》P311，312	放～。	
799	T7	下	下	ha22	ha22	haa6	2003年侯精一《現代漢語方言音庫(字庫)》P311，312	等一～子。	
800	T8	特	特	tɐk2	tɐk2	dak6	2003年侯精一《現代漢語方言音庫(字庫)》P311，312		
801	T9	擇	择	tsak2	tʃak2	zaak6	2003年侯精一《現代漢語方言音庫(字庫)》P311，312		
802	T10	澤	泽	tsak2	tʃak2	zaak6	2003年侯精一《現代漢語方言音庫(字庫)》P311，312		
803	T11	側	侧	tsɐk5	tʃɐk5	zak1	2003年侯精一《現代漢語方言音庫(字庫)》P313，314		
804	T12	鶴	鹤	hɔk2	hɔk2	hok6	2003年侯精一《現代漢語方言音庫(字庫)》P313，314		
805	T13	波	波	pɔ55	pɔ55	bo1	2003年侯精一《現代漢語方言音庫(字庫)》P313，314		
806	T14	玻	玻	pɔ55	pɔ55	bo1	2003年侯精一《現代漢語方言音庫(字庫)》P313，314		
807	T15	泊	泊	pɔk2	pɔk2	bok6	2003年侯精一《現代漢語方言音庫(字庫)》P313，314		
808	T16	勃	勃	put2	put2	but6	2003年侯精一《現代漢語方言音庫(字庫)》P315，316		
809	T17	坡	坡	pʰɔ55	pʰɔ55	po1	2003年侯精一《現代漢語方言音庫(字庫)》P315，316		
810	T18	迫	迫	pek5	pek5	bik1	2003年侯精一《現代漢語方言音庫(字庫)》P315，316		
811	T19	做	做	tsu33	tʃu33	zu3	2003年侯精一《現代漢語方言音庫(字庫)》P315，316		
812	T20	鍋	锅	kɔ55	kɔ55	go1	2003年侯精一《現代漢語方言音庫(字庫)》P315，316		
813	T21	茄	茄	kʰɛ21	kʰɛ21	ke4	2003年侯精一《現代漢語方言音庫(字庫)》P317，318		
814	T22	些	些	ɬɛ55	ɬɛ55	sle1	2003年侯精一《現代漢語方言音庫(字庫)》P317，318		
815	T23	邪	邪	tsʰɛ21	tʃʰɛ21	ce4	2003年侯精一《現代漢語方言音庫(字庫)》P317，318		
816	T24	鞋	鞋	hai21	hai21	haai4	2003年侯精一《現代漢語方言音庫(字庫)》P317，318		
