ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1425	餌	饵	ø24	∅œ24	oe5	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1426	愚	愚	ȵy21	ȵy21	njyu4	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1427	舔	舔	lEm24	lɛm24	lem5	2000年李連進《南寧近郊平話方言島》P64	以舌取物	原文未標調
1428	染	染	ȵim24	ȵim24	njim5	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1429	攥	攥	tɕEn24	tʃɛn24	zen5	2000年李連進《南寧近郊平話方言島》P64	掐，～頸	原文未標調，原文作「掐」字
1430	掐	掐	tɕEn24	tʃɛn24	zen5	2000年李連進《南寧近郊平話方言島》P64	掐，～頸	原文未標調，應作「攥」字
1431	攢	攒	tɕon33	tʃon33	zon2	2000年李連進《南寧近郊平話方言島》P64		原文未標調，誤作「贊/讚」字
1432	編	编	pʰin53	pʰin53	pin1	1997年李榮主編《南寧平話詞典》引論P14		表格中
1433	迭	迭	tip2	tip2	dip6	2000年李連進《南寧近郊平話方言島》P64，65		原文P64未標調，P65有標調
1434	割	割	kat3	kat3	gaat2	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1435	挖	挖	wat3	wat3	waat2	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1436	黴	霉	mɐt3	mɐt3	mat2	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1437	霉	霉	mɐt3	mɐt3	mat2	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1438	物	物	mɐt24	mɐt24	mat5	2000年李連進《南寧近郊平話方言島》P64		原文未標調
1439	逸	逸	jEt5	jɛt5	jet3	2000年李連進《南寧近郊平話方言島》P64	跳過	原文未標調，原文有音無字
1440	𤊶	𤊶	lEt5	lɛt5	let3	2000年李連進《南寧近郊平話方言島》P64	燙着	原文未標調，原文有音無字
1441	蔑	蔑	mEt5	mɛt5	met3	2000年李連進《南寧近郊平話方言島》P64	處於後面	原文未標調，原文有音無字
1442	泌	泌	pEt5	pɛt5	bet3	2000年李連進《南寧近郊平話方言島》P65	物體急速壓出	原文未標調，原文有音無字
1443	忔	忔	ŋEt3	ŋɛt3	nget2	2000年李連進《南寧近郊平話方言島》P65	小氣	原文未標調，原文有音無字
1444	揭	揭	kʰit3	kʰit3	kit2	2000年李連進《南寧近郊平話方言島》P65	～蓋	原文未標調
1445	揭	揭	hit3	hit3	hit2	2000年李連進《南寧近郊平話方言島》P65	～發	原文未標調
1446	摘	摘	tɕak2	tʃak2	zaak6	2000年李連進《南寧近郊平話方言島》P65		原文未標調
1447	虐	虐	nɐk24	nɐk24	nak5	2000年李連進《南寧近郊平話方言島》P65		原文未標調
1448	迪	迪	tʅk2	tek2	dik6	2000年李連進《南寧近郊平話方言島》P65		原文未標調
1449	逆	逆	nʅk24	nek24	nik5	2000年李連進《南寧近郊平話方言島》P65		原文未標調
