ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
987	圈	圈	hyn55	hyn55	hyun1	2015年語保工程(單字)	圓～	
988	權	权	khyn21	kʰyn21	kyun4	2015年語保工程(單字)		
989	圓	圆	Ǿyn21	jyn21	jyun4	2015年語保工程(單字)		
990	院	院	Ǿyn35	jyn35	jyun2	2015年語保工程(單字)		
991	鉛	铅	Ǿyn21	jyn21	jyun4	2015年語保工程(單字)	～筆	
992	絕	绝	ʧyt2	tʃyt2	zyut6	2015年語保工程(單字)		
993	雪	雪	ɬyt3	ɬyt3	slyut3	2015年語保工程(單字)		
994	反	反	fan35	fan35	faan2	2015年語保工程(單字)		
995	翻	翻	fan55	fan55	faan1	2015年語保工程(單字)		
996	飯	饭	fan22	fan22	faan6	2015年語保工程(單字)		
997	晚	晚	man24	man24	maan5	2015年語保工程(單字)		
998	萬	万	man22	man22	maan6	2015年語保工程(單字)	麻將牌	
999	勸	劝	hyn33	hyn33	hyun3	2015年語保工程(單字)		
1000	原	原	Ǿyn21	jyn21	jyun4	2015年語保工程(單字)		
1001	冤	冤	Ǿyn55	jyn55	jyun1	2015年語保工程(單字)		
1002	園	园	Ǿyn21	jyn21	jyun4	2015年語保工程(單字)		
1003	遠	远	Ǿyn24	jyn24	jyun5	2015年語保工程(單字)		
1004	發	发	fat3	fat3	faat3	2015年語保工程(單字)		
1005	髮	发	fat3	fat3	faat3	2015年語保工程(單字)	頭～	
1006	罰	罚	fat2	fat2	faat6	2015年語保工程(單字)		
1007	襪	袜	mɐt2	mɐt2	mat6	2015年語保工程(單字)		
1008	襪	袜	mat2	mat2	maat6	2015年語保工程(單字)		
1009	月	月	Ǿyt2	jyt2	jyut6	2015年語保工程(單字)		
1010	越	越	Ǿyt2	jyt2	jyut6	2015年語保工程(單字)		
1011	縣	县	Ǿyn22	jyn22	jyun6	2015年語保工程(單字)		
1012	決	决	khyt3	kʰyt3	kyut3	2015年語保工程(單字)		
1013	缺	缺	khyt3	kʰyt3	kyut3	2015年語保工程(單字)		
