ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
903	匙	匙	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	鑰匙，湯匙	
904	是	是	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	是不是	
905	氏	氏	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	姓氏，氏族	
906	豉	豉	ʃi22	ʃi22	si6	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	豆豉	
907	兒	儿	ȵi21	ȵi21	nji4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	兒童	
908	爾	尔	ȵi24	ȵi24	nji5	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	爾虞我詐	
909	寄	寄	ki55	ki55	gi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	郵寄，寄信	
910	企	企	kʰi33	kʰi33	ki2	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	企業，企求	
911	奇	奇	ki21	ki21	gi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	好奇，奇怪	
912	騎	骑	ki21	ki21	gi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	騎馬	
913	岐	岐	ki21	ki21	gi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	岐山	
914	徛	徛	ki24	ki24	gi5	1998年楊煥典主編《廣西通誌·漢語方言誌》P260，667	站立	原文P667誤作[kʰi24]，但P260標音正確
915	技	技	ki22	ki22	gi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	技術，雜技	
916	妓	妓	ki22	ki22	gi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	嫖妓，妓女	
917	宜	宜	ni21	ni21	ni4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	宜昌，便宜	
918	儀	仪	ȵi21	ȵi21	nji4	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	禮儀，儀式	
919	蟻	蚁	ŋɐi24	ŋɐi24	ngai5	1998年楊煥典主編《廣西通誌·漢語方言誌》P667	螞蟻，白蟻	
920	誼	谊	ȵi22	ȵi22	nji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	友誼	
921	義	义	ȵi22	ȵi22	nji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	情義，義氣	
922	議	议	ȵi22	ȵi22	nji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	議論，會議	
923	犧	牺	hi53	hi53	hi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	犧牲	
924	戲	戏	hi55	hi55	hi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	唱戲，戲班	
925	椅	椅	ji33	ji33	ji2	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	交椅，椅子	
926	倚	倚	ji33	ji33	ji2	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	倚靠，不偏不倚	
927	移	移	ji21	ji21	ji4	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	遷移，移動	
928	易	易	ji22	ji22	ji6	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	容易，易如反掌	
929	悲	悲	pɐi53	pɐi53	bai1	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	可悲，悲傷	
930	鄙	鄙	pi33	pi33	bi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	卑鄙，鄙人	
931	比	比	pi33	pi33	bi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	對比，比較	
932	秕	秕	pi33	pi33	bi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	秕穀（不飽滿的稻穀），秕子	
933	秘	秘	pi55	pi55	bi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	祕書，祕密	原文作「祕」字
934	祕	秘	pi55	pi55	bi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	祕書，祕密	
935	泌	泌	pi55	pi55	bi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	分泌	
936	轡	辔	pʰi55	pʰi55	pi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	轡頭	
937	庇	庇	pi55	pi55	bi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	包庇	
938	痹	痹	pi55	pi55	bi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P668	麻痹	
939	丕	丕	pʰi53	pʰi53	pi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	曹丕	
940	屁	屁	pʰi55	pʰi55	pi3	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	放屁，狗屁	
941	琵	琵	pi21	pi21	bi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	琵琶	
942	枇	枇	pi21	pi21	bi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	枇杷	
943	備	备	pi22	pi22	bi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	準備，備用，劉備	
944	鼻	鼻	pi22	pi22	bi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	鼻子，鼻涕	
945	篦	篦	pɐi22	pɐi22	bai6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	篦子（可抓蝨子的很密的梳子）	
946	眉	眉	mi21	mi21	mi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	畫眉，眉毛	
947	楣	楣	mi21	mi21	mi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	門楣，倒楣	
948	黴	霉	mi21	mi21	mi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	發黴	
949	霉	霉	mi21	mi21	mi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	發黴	
950	美	美	mɐi24	mɐi24	mai5	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	英美，美化	
951	媚	媚	mi22	mi22	mi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	拋媚眼，武媚娘，嫵媚	
952	寐	寐	mi22	mi22	mi6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	夢寐以求	
953	地	地	ti22	ti22	di6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	土地，地上	
954	尼	尼	nɐi21	nɐi21	nai4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	尼姑	
955	膩	腻	nɐi22	nɐi22	nai6	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	油膩，吃膩	
956	梨	梨	li21	li21	li4	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	雪梨，梨園	
957	履	履	ly24	ly24	lyu5	1998年楊煥典主編《廣西通誌·漢語方言誌》P669	履行	
958	利	利	li22	li22	li6	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	有利，利錢	
959	痢	痢	li22	li22	li6	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	癩痢，痢疾	
960	資	资	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	資本	
961	姿	姿	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	姿勢	
962	咨	咨	tʃi53	tʃi53	zi1	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	諮詢	
963	姊	姊	tʃi33	tʃi33	zi2	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	姊妹	
964	次	次	tʃʰi55	tʃʰi55	ci3	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	名次，兩次，次品	
965	瓷	瓷	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	陶瓷，瓷磚	
966	餈	糍	tʃi21	tʃi21	zi4	1998年楊煥典主編《廣西通誌·漢語方言誌》P670	麻餈，餈粑	
