ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2932	糖	糖	tʰɔŋ21	tʰɔŋ21	tong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	白糖，糖果	
2933	塘	塘	tʰɔŋ21	tʰɔŋ21	tong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	池塘	
2934	盪	荡	tɔŋ22	tɔŋ22	dong6	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	用水盪盪碗，盪鞦韆	原文作「蕩」字
2935	蕩	荡	tɔŋ22	tɔŋ22	dong6	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	放蕩	
2936	宕	宕	tɔŋ22	tɔŋ22	dong6	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	跌宕起伏，雁宕	
2937	踱	踱	tɔk2	tɔk2	dok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	踱方步	
2938	鐸	铎	tɔk2	tɔk2	dok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	屋檐下結的長棱形冰柱（凙），犁鐸	
2939	囊	囊	nɔŋ21	nɔŋ21	nong4	1998年楊煥典主編《廣西通誌·漢語方言誌》P772	行囊	
2940	曩	曩	nɔŋ24	nɔŋ24	nong5	1998年楊煥典主編《廣西通誌·漢語方言誌》P773		
2941	諾	诺	nɔk2	nɔk2	nok6	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	承諾，諾言	
2942	郎	郎	lɔŋ21	lɔŋ21	long4	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	郎中，新郎	
2943	廊	廊	lɔŋ21	lɔŋ21	long4	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	走廊，廊柱	
2944	狼	狼	lɔŋ21	lɔŋ21	long4	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	動物，狼狽	
2945	螂	螂	lɔŋ21	lɔŋ21	long4	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	蟑螂，螳螂	
2946	朗	朗	lɔŋ24	lɔŋ24	long5	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	明朗，朗讀，稀疏	
2947	浪	浪	lɔŋ22	lɔŋ22	long6	1998年楊煥典主編《廣西通誌·漢語方言誌》P773	風浪，浪費	
