ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2305	腱	腱	kin22	kin22	gin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	肌腱	
2306	言	言	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	語言，言論	
2307	掀	掀	hin55	hin55	hin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	掀桌子	
2308	軒	轩	hyn55	hyn55	hyun1	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	人名用字	
2309	憲	宪	hin33	hin33	hin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	憲法	
2310	獻	献	hin33	hin33	hin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	貢獻，獻寶	
2311	歇	歇	hit3	hit3	hit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	休息，一歇	
2312	蠍	蝎	hit3	hit3	hit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	蠍子，蛇蠍	
2313	堰	堰	jin33	jin33	jin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	都江堰，壩	
2314	邊	边	pin55	pin55	bin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	旁邊，邊緣	
2315	蝙	蝙	pʰin55	pʰin55	pin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	蝙蝠	
2316	扁	扁	pɛn35	pɛn35	ben2	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	扁擔，形狀	
2317	匾	匾	pin35	pin35	bin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	牌匾，匾額	
2318	匾	匾	pɛn35	pɛn35	ben2	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	牌匾，匾額	
2319	遍	遍	pʰin33	pʰin33	pin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	一遍；遍地，普遍	
2320	憋	憋	pit3	pit3	bit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P739	憋氣，憋尿	
2321	片	片	pʰin33	pʰin33	pin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	一片，片面	
2322	撇	撇	pʰit3	pʰit3	pit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	撇捺，撇開	
2323	辮	辫	pin55	pin55	bin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	編辮子，辮子	
2324	眠	眠	min21	min21	min4	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	安眠，眠牀	
2325	麵	面	min22	min22	min6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	吃麪，麪粉	
2326	麪	面	min22	min22	min6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	吃麪，麪粉	原文作「麵」字
2327	篾	篾	mit2	mit2	mit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	竹篾	
2328	顛	颠	tin55	tin55	din1	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	顛倒，顛箥	
2329	典	典	tim35	tim35	dim2	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	詞典，典當	
2330	天	天	tʰin55	tʰin55	tin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	天上，晴天	
2331	腆	腆	tim35	tim35	dim2	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	腆肚子，靦腆	
2332	鐵	铁	tʰit3	tʰit3	tit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	鋼鐵	
2333	田	田	tʰin21	tʰin21	tin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	種田，田地	
2334	填	填	tʰin21	tʰin21	tin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	填空，填房（續絃）	
2335	電	电	tin22	tin22	din6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	電燈，觸電	
2336	殿	殿	tin22	tin22	din6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	佛殿，殿堂	
2337	奠	奠	tin22	tin22	din6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	奠基，奠定	
2338	佃	佃	tin22	tin22	din6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	佃戶	
2339	墊	垫	tim22	tim22	dim6	1998年楊煥典主編《廣西通誌·漢語方言誌》P740	墊錢，座墊	
2340	年	年	nin21	nin21	nin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	過年，年紀	
2341	捻	捻	nɛn35	nɛn35	nen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P741	以指捻	
