ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
2215	辨	辨	pin22	pin22	bin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	分辨，辨別	
2216	汴	汴	pin22	pin22	bin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P734		
2217	便	便	pin22	pin22	bin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	方便，便當	
2218	綿	绵	min21	min21	min4	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	海綿，綿延	
2219	棉	棉	min21	min21	min4	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	棉花	
2220	免	免	min24	min24	min5	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	免除，罷免	
2221	勉	勉	min24	min24	min5	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	勉強，勉勵	
2222	緬	缅	min24	min24	min5	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	緬甸，緬懷	
2223	澠	渑	min24	min24	min5	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	澠池	
2224	娩	娩	min24	min24	min5	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	分娩	
2225	面	面	min22	min22	min6	1998年楊煥典主編《廣西通誌·漢語方言誌》P734		
2226	滅	灭	mit2	mit2	mit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P734	消滅，滅亡	
2227	碾	碾	nɛn35	nɛn35	nen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	農具，碾米	
2228	連	连	lin21	lin21	lin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	連長，大連	
2229	聯	联	lin21	lin21	lin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	對聯，聯繫	
2230	輦	辇	nɛn35	nɛn35	nen2	1998年楊煥典主編《廣西通誌·漢語方言誌》P735		
2231	列	列	lit2	lit2	lit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	排列，列寧	
2232	烈	烈	lit2	lit2	lit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	烈士，熱烈	
2233	裂	裂	lit2	lit2	lit6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	分裂，裂開	
2234	煎	煎	tsin55	tʃin55	zin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	煎藥，煎魚	
2235	剪	剪	tsin35	tʃin35	zin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	鉸剪，剪東西	
2236	箭	箭	tsin33	tʃin33	zin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	射箭	
2237	濺	溅	tsin22	tʃin22	zin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	濺水	
2238	遷	迁	tsʰim55	tʃʰim55	cim1	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	遷移	
2239	淺	浅	tsʰin35	tʃʰin35	cin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	深淺，淺薄	
2240	錢	钱	tsʰin21	tʃʰin21	cin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	一塊錢，姓	
2241	踐	践	tsin35	tʃin35	zin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	實踐	
2242	賤	贱	tsin22	tʃin22	zin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	犯賤，賤價	
2243	餞	饯	tsin22	tʃin22	zin6	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	餞行	
2244	仙	仙	ɬin55	ɬin55	slin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P735	神仙，仙丹	
2245	鮮	鲜	ɬin55	ɬin55	slin1	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	新鮮，鮮豔	
2246	鮮	鲜	ɬin35	ɬin35	slin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	鮮少	
2247	癬	癣	ɬyn35	ɬyn35	slyun2	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	腳癬	
2248	線	线	ɬin33	ɬin33	slin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	棉線，線索	
2249	綫	线	ɬin33	ɬin33	slin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	棉線，線索	原文作「線」字
2250	薛	薛	ɬyt3	ɬyt3	slyut3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	姓，薛寶釵	
2251	泄	泄	ɬit3	ɬit3	slit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	排泄，泄漏，泄洪	
2252	洩	泄	ɬit3	ɬit3	slit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	排泄，泄漏，泄洪	原文作「泄」字
2253	涎	涎	jin21	jin21	jin4	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	流下的口水	
2254	羨	羡	ɬin33	ɬin33	slin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	羨慕	
2255	羡	羡	ɬin33	ɬin33	slin3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	羨慕	原文作「羨」字
2256	展	展	tsin35	tʃin35	zin2	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	發展，展開	
2257	哲	哲	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	哲學，哲理	
2258	蜇	蜇	tsit3	tʃit3	zit3	1998年楊煥典主編《廣西通誌·漢語方言誌》P736	蠍子蜇人，海蜇	
