ID	繁體	簡體	IPA_S	IPA_T	粵拼	來源	詞例	leimaau附註
3178	騰	腾	tɐŋ21	tɐŋ21	dang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	奔騰，騰空。	
3179	謄	誊	tɐŋ21	tɐŋ21	dang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	謄寫。	
3180	疼	疼	tɐŋ21	tɐŋ21	dang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791		
3181	鄧	邓	tɐŋ22	tɐŋ22	dang6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	姓。	
3182	澄	澄	ʧeŋ21	tʃeŋ21	zing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791，793，797	澄清。	
3183	特	特	tɐk2	tɐk2	dak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	特別，獨特。	
3184	能	能	nɐŋ21	nɐŋ21	nang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	能幹，才能，能夠。	
3185	楞	楞	lɐŋ21	lɐŋ21	lang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791		
3186	勒	勒	lɐk24	lɐk24	lak5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	勒緊，勒令，勒索。	
3187	肋	肋	lɐk24	lɐk24	lak5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	肋排，肋骨。	
3188	增	增	ʧɐŋ53	tʃɐŋ53	zang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	增加。	
3189	曾	曾	ʧɐŋ53	tʃɐŋ53	zang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	姓。	
3190	憎	憎	ʧɐŋ53	tʃɐŋ53	zang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	憎恨，厭憎。	
3191	則	则	ʧɐk3	tʃɐk3	zak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	否則。	
3192	蹭	蹭	ʧʰɐŋ55	tʃʰɐŋ55	cang3	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	磨蹭，摩擦。	
3193	曾	曾	ʧɐŋ21	tʃɐŋ21	zang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P791	曾經，不曾。	
3194	層	层	ʧɐŋ21	tʃɐŋ21	zang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	樓層，層次。	
3195	贈	赠	ʧɐŋ22	tʃɐŋ22	zang6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	贈送，饋贈。	
3196	賊	贼	ʧʰɐk2	tʃʰɐk2	cak6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	做賊。	
3197	僧	僧	ʧɐŋ53	tʃɐŋ53	zang1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	唐僧，僧尼會。	
3198	塞	塞	ɬɐk3	ɬɐk3	slak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	瓶塞，塞住。	
3199	肯	肯	hɐŋ33	hɐŋ33	hang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	不肯，肯定。	
3200	克	克	kʰɐk3	kʰɐk3	kak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	克服，攻克。	
3201	刻	刻	kʰɐk3	kʰɐk3	kak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	時刻表；用刀刻。	
3202	黑	黑	hɐk3	hɐk3	hak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	黑白，天黑。	
3203	恒	恒	hɐŋ21	hɐŋ21	hang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	永恆，恆心。	
3204	恆	恒	hɐŋ21	hɐŋ21	hang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	永恆，恆心。	原文作「恒」字。
3205	冰	冰	peŋ53	peŋ53	bing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	結冰，冰箱。	
3206	逼	逼	pek3	pek3	bik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	逼迫，被逼。	
3207	憑	凭	pɐŋ21	pɐŋ21	bang4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	憑藉，文憑。	
3208	匿	匿	nek24	nek24	nik5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	匿名信。	
3209	凌	凌	leŋ21	leŋ21	ling4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	冰凌，凌厲。	
3210	陵	陵	leŋ21	leŋ21	ling4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	皇陵，陵園。	
3211	菱	菱	leŋ21	leŋ21	ling4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P792	菱角。	
3212	力	力	lek24	lek24	lik5	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	力量，有力。	
3213	即	即	ʧek3	tʃek3	zik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	即刻，立即。	
3214	鯽	鲫	ʧɐk3	tʃɐk3	zak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	鯽魚。	
3215	息	息	ɬek3	ɬek3	slik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	休息，息怒。	
3216	熄	熄	ɬek3	ɬek3	slik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	熄滅，熄燈。	
3217	媳	媳	ɬek3	ɬek3	slik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	婆媳，媳婦。	
3218	徵	征	ʧeŋ53	tʃeŋ53	zing1	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	徵求。	
3219	稙	稙	ʧek3	tʃek3	zik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	早稙禾。	
3220	飭	饬	ʧʰek3	tʃʰek3	cik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	飭令，整飭。	
3221	懲	惩	ʧeŋ21	tʃeŋ21	zing4	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	懲罰，嚴懲。	
3222	橙	橙	ʧʰaŋ33	tʃʰaŋ33	caang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793		
3223	橙	橙	ʧɐŋ33	tʃɐŋ33	zang2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P800		
3224	瞪	瞪	tɐŋ22	tɐŋ22	dang6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793		
3225	直	直	ʧek2	tʃek2	zik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	筆直，直接。	
3226	值	值	ʧek2	tʃek2	zik6	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	值得，價值。	
3227	側	侧	ʧʰɐk3	tʃʰɐk3	cak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	側面，側着睡。	
3228	測	测	ʧʰɐk3	tʃʰɐk3	cak2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	測量，觀測，居心叵測。	
3229	色	色	ʃek3	ʃek3	sik2	1998年廣西地方誌編纂委員會《廣西通誌（漢語方言誌）》P793	顏色，色彩。	
