ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
138	加	加	ka55	ka55	gaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P15		
139	痂	痂	ka55	ka55	gaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
140	嘉	嘉	ka55	ka55	gaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
141	傢	家	ka55	ka55	gaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P15	傢俱	原文作「家」字
142	假	假	ka35	ka35	gaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P18	真假	
143	賈	贾	ka35	ka35	gaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P17	姓	
144	假	假	kʰa33	kʰa33	kaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20	休假	
145	架	架	ka33	ka33	gaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20	吵架	
146	架	架	kʰa33	kʰa33	kaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20	架子	
147	駕	驾	kʰa33	kʰa33	kaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20		
148	嫁	嫁	ka33	ka33	gaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20		
149	價	价	ka33	ka33	gaa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20		
150	牙	牙	ŋa21	ŋa21	ngaa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
151	芽	芽	ŋa21	ŋa21	ngaa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
152	衙	衙	ŋa21	ŋa21	ngaa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
153	雅	雅	ŋa24	ŋa24	ngaa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P18		
154	嚇	吓	hak3	hak3	haak3	2009年陳海倫、林亦《粵語平話土話方音字彙》P331	恐嚇	
155	霞	霞	ha21	ha21	haa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
156	瑕	瑕	ha21	ha21	haa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
157	遐	遐	ha21	ha21	haa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P16		
158	蝦	虾	ha55	ha55	haa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17	魚蝦	
159	下	下	ha24	ha24	haa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P18	一下	
160	廈	厦	ha22	ha22	haa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P18	廈門	
161	廈	厦	sai35	ʃai35	saai2	2009年陳海倫、林亦《粵語平話土話方音字彙》P19	旁屋	
162	下	下	ha22	ha22	haa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P18	底下	
163	夏	夏	ha22	ha22	haa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P18，20	姓；春夏	
164	暇	暇	ha21	ha21	haa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P20		
165	鴉	鸦	ja55	ja55	jaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17		
166	鴉	鸦	∅a55	∅a55	aa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17		
167	丫	丫	∅a55	∅a55	aa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17		
168	丫	丫	ja55	ja55	jaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17		
169	椏	桠	ŋa55	ŋa55	ngaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P17		
170	啞	哑	∅a35	∅a35	aa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P18		
171	亞	亚	∅a33	∅a33	aa3	2009年陳海倫、林亦《粵語平話土話方音字彙》P20		
172	姐	姐	tsɛ55	tʃɛ55	ze1	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
173	姐	姐	tsɛ35	tʃɛ35	ze2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
174	借	借	tsɛ33	tʃɛ33	ze3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23	借貸	
175	且	且	tsʰɛ35	tʃʰɛ35	ce2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
176	笡	笡	tsʰɛ21	tʃʰɛ21	ce4	2009年陳海倫、林亦《粵語平話土話方音字彙》P23	斜	
177	笡	笡	tsʰɛ33	tʃʰɛ33	ce3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23	斜	
178	藉	藉	tsɛ33	tʃɛ33	ze3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23	藉口	原文作「借」字
179	些	些	ɬɛ55	ɬɛ55	sle1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
180	寫	写	ɬɛ35	ɬɛ35	sle2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
181	瀉	泻	ɬɛ33	ɬɛ33	sle3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
182	卸	卸	ɬɛ33	ɬɛ33	sle3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
183	邪	邪	tsʰɛ21	tʃʰɛ21	ce4	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
184	斜	斜	tsʰɛ21	tʃʰɛ21	ce4	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
185	謝	谢	tsɛ22	tʃɛ22	ze6	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
186	爹	爹	tɛ55	tɛ55	de1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
187	遮	遮	tsɛ55	tʃɛ55	ze1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21	傘	
188	者	者	tsɛ35	tʃɛ35	ze2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
189	蔗	蔗	tsɛ33	tʃɛ33	ze3	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
190	車	车	tsʰɛ55	tʃʰɛ55	ce1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21	車輛	
191	扯	扯	tsʰɛ35	tʃʰɛ35	ce2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
192	蛇	蛇	sɛ21	ʃɛ21	se4	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
193	射	射	sɛ22	ʃɛ22	se6	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
194	麝	麝	sɛ22	ʃɛ22	se6	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
195	賒	赊	sɛ55	ʃɛ55	se1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
196	奢	奢	sɛ55	ʃɛ55	se1	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
197	捨	舍	sɛ35	ʃɛ35	se2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22	捨棄	
198	舍	舍	sɛ35	ʃɛ35	se2	2009年陳海倫、林亦《粵語平話土話方音字彙》P22	捨棄	
199	赦	赦	sɛ33	ʃɛ33	se3	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
200	舍	舍	sɛ33	ʃɛ33	se3	2009年陳海倫、林亦《粵語平話土話方音字彙》P24	宿舍	
201	佘	佘	sɛ21	ʃɛ21	se4	2009年陳海倫、林亦《粵語平話土話方音字彙》P21		
202	社	社	sɛ24	ʃɛ24	se5	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
203	惹	惹	jɛ24	jɛ24	je5	2009年陳海倫、林亦《粵語平話土話方音字彙》P23		
204	耶	耶	jɛ21	jɛ21	je4	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
205	爺	爷	jɛ21	jɛ21	je4	2009年陳海倫、林亦《粵語平話土話方音字彙》P22		
