ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1124	膏	膏	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125	牙膏	
1125	篙	篙	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1126	糕	糕	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1127	羔	羔	kau53	kau53	gaau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1128	稿	稿	kau33	kau33	gaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1129	告	告	kau55	kau55	gaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1130	考	考	kʰau33	kʰau33	kaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1131	攷	考	kʰau33	kʰau33	kaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1132	烤	烤	kʰau33	kʰau33	kaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1133	靠	靠	kʰau55	kʰau55	kaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1134	熬	熬	ŋau21	ŋau21	ngaau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125	熬夜	
1135	傲	傲	ŋau22	ŋau22	ngaau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1136	蒿	蒿	hau53	hau53	haau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1137	薅	薅	hau53	hau53	haau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1138	好	好	hau33	hau33	haau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129	好壞	
1139	好	好	hau55	hau55	haau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132	喜好	
1140	耗	耗	hau55	hau55	haau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1141	毫	毫	hau21	hau21	haau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1142	豪	豪	hau21	hau21	haau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P125		
1143	壕	壕	hau21	hau21	haau4	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1144	浩	浩	hau22	hau22	haau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1145	號	号	hau22	hau22	haau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P126，132	嚎；號碼	
1146	襖	袄	ŋau33	ŋau33	ngaau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1147	奧	奥	ŋau55	ŋau55	ngaau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1148	包	包	pau53	pau53	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1149	胞	胞	pau53	pau53	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P132	胞胎	
1150	飽	饱	pau33	pau33	baau2	2009年陳海倫、林亦《粵語平話土話方音字彙》P135		
1151	豹	豹	pau55	pau55	baau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1152	爆	爆	pau55	pau55	baau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
1153	泡	泡	pʰau53	pʰau53	paau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P133	虛鬆	
1154	拋	抛	pʰau53	pʰau53	paau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P133		
1155	泡	泡	pʰau55	pʰau55	paau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P133	起泡	
1156	炮	炮	pʰau55	pʰau55	paau3	2009年陳海倫、林亦《粵語平話土話方音字彙》P137		
