ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
1239	蝟	猬	wɐi33	wɐi33	wai3	2009年陳海倫、林亦《粵語平話土話方音字彙》P122		
1240	彙	汇	wui22	wui22	wui6	2009年陳海倫、林亦《粵語平話土話方音字彙》P122	聚集	
1241	褒	褒	pau55	pau55	baau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P122		
1242	保	保	pu35	pu35	bu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1243	寶	宝	pu35	pu35	bu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1244	堡	堡	pu35	pu35	bu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1245	報	报	pu33	pu33	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1246	袍	袍	pʰu21	pʰu21	pu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1247	抱	抱	pʰu24	pʰu24	pu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1248	暴	暴	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1249	菢	菢	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1250	毛	毛	mu21	mu21	mu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1251	冒	冒	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130	感冒	
1252	冒	冒	mau22	mau22	maau6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130	假冒	
1253	帽	帽	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1254	刀	刀	tu55	tu55	du1	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1255	叨	叨	tu55	tu55	du1	2009年陳海倫、林亦《粵語平話土話方音字彙》P123	嘮叨	
1256	倒	倒	tu35	tu35	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P127	倒塌	
1257	倒	倒	tu33	tu33	du3	2009年陳海倫、林亦《粵語平話土話方音字彙》P130	倒懸	
1258	島	岛	tu35	tu35	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1259	禱	祷	tu35	tu35	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1260	到	到	tu33	tu33	du3	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1261	滔	滔	tʰu55	tʰu55	tu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1262	掏	掏	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1263	討	讨	tʰu35	tʰu35	tu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1264	套	套	tʰu33	tʰu33	tu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1265	桃	桃	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1266	逃	逃	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1267	淘	淘	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1268	陶	陶	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1269	萄	萄	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
1270	濤	涛	tʰu21	tʰu21	tu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P123		
1271	稻	稻	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1272	道	道	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1273	導	导	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P130		
1274	盜	盗	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P131		
1275	腦	脑	nu24	nu24	nu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P128		
1276	惱	恼	nu24	nu24	nu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P127		
1277	勞	劳	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P126	勞動	
1278	撈	捞	lau55	lau55	laau1	2009年陳海倫、林亦《粵語平話土話方音字彙》P126	撈籬	
1279	牢	牢	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1280	嘮	唠	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P126		
1281	老	老	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P129		
1282	澇	涝	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P132		
1283	糟	糟	tsu55	tʃu55	zu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P124		
