ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
186	夜	夜	∅ia22	ja22	jaa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P24	半夜	
187	夜	夜	∅ie22	je22	je6	2009年陳海倫、林亦《粵語平話土話方音字彙》P24	夜來香	
188	傻	傻	so21	ʃo21	so4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
189	耍	耍	sa33	ʃa33	saa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
190	瓜	瓜	kua53	kʷa53	gwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
191	寡	寡	kua33	kʷa33	gwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
192	剮	剐	kua33	kʷa33	gwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
193	誇	夸	kʰua53	kʷʰa53	kwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
194	垮	垮	kʰua33	kʷʰa33	kwaa2	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
195	跨	跨	kʰua53	kʷʰa53	kwaa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
196	瓦	瓦	βa24	wa24	waa5	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	磚瓦	
197	花	花	βa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P24		
198	化	化	βa22	wa22	waa6	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	分化	
199	鏵	铧	βa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
200	划	划	βa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
201	華	华	βa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P25，26	中華；姓	
202	樺	桦	βa21	wa21	waa4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
203	蛙	蛙	βa53	wa53	waa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
204	窪	洼	βa53	wa53	waa1	2009年陳海倫、林亦《粵語平話土話方音字彙》P25		
205	補	补	pu33	pu33	bu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
206	譜	谱	pʰu33	pʰu33	pu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
207	布	布	pu55	pu55	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P34	布匹	
208	佈	布	pu55	pu55	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P35	宣佈	
209	鋪	铺	pʰu53	pʰu53	pu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	鋪設	
210	普	普	pʰu33	pʰu33	pu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
211	浦	浦	pʰu33	pʰu33	pu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
212	鋪	铺	pʰu55	pʰu55	pu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P35	店鋪	
213	怖	怖	pu55	pu55	bu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
214	蒲	蒲	pu21	pu21	bu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
215	菩	菩	pu21	pu21	bu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26		
216	脯	脯	pu21	pu21	bu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P26	胸脯	
217	部	部	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
218	簿	簿	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
219	步	步	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
220	捕	捕	pʰu33	pʰu33	pu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
221	埠	埠	pu22	pu22	bu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
222	模	模	mo53	mo53	mo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	勞模；模子	
223	摹	摹	mo53	mo53	mo1	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	臨摹	
224	暮	暮	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
225	慕	慕	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
226	墓	墓	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
227	募	募	mu22	mu22	mu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P35		
228	都	都	tu53	tu53	du1	2009年陳海倫、林亦《粵語平話土話方音字彙》P27	都城；都是	
229	堵	堵	tu33	tu33	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
230	賭	赌	tu33	tu33	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
231	肚	肚	tu33	tu33	du2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32	豬肚	
232	肚	肚	tu24	tu24	du5	2009年陳海倫、林亦《粵語平話土話方音字彙》P32	肚子	
233	妬	妒	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
234	妒	妒	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
235	土	土	tʰu33	tʰu33	tu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
236	吐	吐	tʰu33	tʰu33	tu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32	吐痰	
237	吐	吐	tʰu55	tʰu55	tu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36	嘔吐	
238	兔	兔	tʰu55	tʰu55	tu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
239	途	途	tu21	tu21	du4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
240	屠	屠	tu21	tu21	du4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
241	徒	徒	tu21	tu21	du4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
242	塗	涂	tu21	tu21	du4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
243	圖	图	tu21	tu21	du4	2009年陳海倫、林亦《粵語平話土話方音字彙》P27		
244	杜	杜	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
245	度	度	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36	法度	
246	渡	渡	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
247	鍍	镀	tu22	tu22	du6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
248	奴	奴	nu21	nu21	nu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
249	努	努	nu24	nu24	nu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
250	怒	怒	nu22	nu22	nu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
251	盧	卢	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
252	爐	炉	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
253	蘆	芦	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
254	鸕	鸬	lu21	lu21	lu4	2009年陳海倫、林亦《粵語平話土話方音字彙》P31		
255	魯	鲁	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
256	櫓	橹	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
257	虜	虏	lu24	lu24	lu5	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
258	滷	卤	lu33	lu33	lu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P34		
259	路	路	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
260	露	露	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P38		
261	鷺	鹭	lu22	lu22	lu6	2009年陳海倫、林亦《粵語平話土話方音字彙》P39		
262	租	租	tsu53	tʃu53	zu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
263	祖	祖	tsu33	tʃu33	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P33		
264	組	组	tsu33	tʃu33	zu2	2009年陳海倫、林亦《粵語平話土話方音字彙》P32		
265	做	做	tsu55	tʃu55	zu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P5		
266	粗	粗	tsʰu53	tʃʰu53	cu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
267	醋	醋	tsʰu55	tʃʰu55	cu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
268	措	措	tsʰo55	tʃʰo55	co3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
269	錯	错	tsʰo55	tʃʰo55	co3	2009年陳海倫、林亦《粵語平話土話方音字彙》P286	錯誤	
270	錯	错	tsʰo33	tʃʰo33	co2	2009年陳海倫、林亦《粵語平話土話方音字彙》P286	交錯	原文如此，疑誤
271	蘇	苏	ɬu53	ɬu53	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
272	酥	酥	ɬu53	ɬu53	slu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
273	素	素	ɬu55	ɬu55	slu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
274	訴	诉	ɬu55	ɬu55	slu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P36		
275	嗉	嗉	ɬy55	ɬy55	slyu3	2009年陳海倫、林亦《粵語平話土話方音字彙》P37		
276	姑	姑	ku53	ku53	gu1	2009年陳海倫、林亦《粵語平話土話方音字彙》P28		
