ID	TRAD	SIMP	IPA_S	IPA_T	JYUTPING	SOUR	EXPL	NOTE
72	果	果	kɔ33	ko33	go2	2000年李連進《平話音韻研究》P8		
73	裹	裹	kɔ33	ko33	go2	2000年李連進《平話音韻研究》P9		
74	過	过	ku55	ku55	gu3	2000年李連進《平話音韻研究》P9	過去	
75	科	科	hu41	hu53	hu1	2000年李連進《平話音韻研究》P9		
76	棵	棵	kɔ41	ko53	go1	2000年李連進《平話音韻研究》P9		
77	課	课	kʰɔ55	kʰo55	ko3	2000年李連進《平話音韻研究》P9		
78	訛	讹	hɐp3	hɐp3	hap2	2000年李連進《平話音韻研究》P9		訓讀「𧬈」
79	𧬈	𧬈	hɐp3	hɐp3	hap2	2000年李連進《平話音韻研究》P9	訛	原文作「訛」字
80	臥	卧	ŋɔ223	ŋo22	ngo6	2000年李連進《平話音韻研究》P9		
81	火	火	hu13	hu24	hu5	2000年李連進《平話音韻研究》P10		
82	夥	伙	hu13	hu24	hu5	2000年李連進《平話音韻研究》P10		
83	伙	伙	hu13	hu24	hu5	2000年李連進《平話音韻研究》P10		原文作「夥」字
84	貨	货	hɔ55	ho55	ho3	2000年李連進《平話音韻研究》P10		
85	和	和	hɔ21	ho21	ho4	2000年李連進《平話音韻研究》P10	和氣；和麪	
86	禾	禾	hu21	hu21	hu4	2000年李連進《平話音韻研究》P10		
87	禍	祸	u223	∅u22	u6	2000年李連進《平話音韻研究》P10		
88	窩	窝	ŋɔ41	ŋo53	ngo1	2000年李連進《平話音韻研究》P10		
89	瘸	瘸	kʷE21	kʷe21	gwe4	2000年李連進《平話音韻研究》P11	瘸腿	原文誤作[kʷEi21]，多了一個[i]
90	靴	靴	vE41	we53	we1	2000年李連進《平話音韻研究》P11		
91	巴	巴	pa41	pa53	baa1	2000年李連進《平話音韻研究》P11		
92	芭	芭	pa41	pa53	baa1	2000年李連進《平話音韻研究》P11		
93	疤	疤	pa41	pa53	baa1	2000年李連進《平話音韻研究》P11		
94	把	把	pa33	pa33	baa2	2000年李連進《平話音韻研究》P11	把守	
95	霸	霸	pa55	pa55	baa3	2000年李連進《平話音韻研究》P11		
96	欛	把	pa55	pa55	baa3	2000年李連進《平話音韻研究》P11	柄	
97	壩	坝	pa55	pa55	baa3	2000年李連進《平話音韻研究》P12	堤	
98	垻	坝	pa55	pa55	baa3	2000年李連進《平話音韻研究》P12	平川	原文誤作「壩」字
99	爸	爸	pa55	pa55	baa3	2000年李連進《平話音韻研究》P12		
100	怕	怕	pʰa55	pʰa55	paa3	2000年李連進《平話音韻研究》P12		
101	帕	帕	pʰEk2	pʰiɐk2	piak6	2000年李連進《平話音韻研究》P12		
102	爬	爬	pa21	pa21	baa4	2000年李連進《平話音韻研究》P12		
103	琶	琶	pa21	pa21	baa4	2000年李連進《平話音韻研究》P12	琵琶	
104	杷	杷	pa21	pa21	baa4	2000年李連進《平話音韻研究》P12	枇杷	原文誤作[pai21]，多了一個[i]
105	耙	耙	pa21	pa21	baa4	2000年李連進《平話音韻研究》P12	犁耙	
106	麻	麻	ma21	ma21	maa4	2000年李連進《平話音韻研究》P13		
107	痲	痲	ma21	ma21	maa4	2000年李連進《平話音韻研究》P13		
108	蟆	蟆	mɔ21	mo21	mo4	2000年李連進《平話音韻研究》P13	蝦蟆	
109	媽	妈	ma55	ma55	maa3	2000年李連進《平話音韻研究》P13		
110	馬	马	ma13	ma24	maa5	2000年李連進《平話音韻研究》P13		
111	碼	码	ma13	ma24	maa5	2000年李連進《平話音韻研究》P13	碼子	
112	罵	骂	ma223	ma22	maa6	2000年李連進《平話音韻研究》P13		原文作「駡」字
113	駡	骂	ma223	ma22	maa6	2000年李連進《平話音韻研究》P13		
114	拿	拿	na21	na21	naa4	2000年李連進《平話音韻研究》P13		
115	拿	拿	nEn41	nɛn53	nen1	2000年李連進《平話音韻研究》P13		訓讀「拈」，應讀[nɛm53]
116	茶	茶	tɕa21	tʃa21	zaa4	2000年李連進《平話音韻研究》P13		
117	搽	搽	tɕa21	tʃa21	zaa4	2000年李連進《平話音韻研究》P13		
