繁體	簡體	南寧白話	又音	廣州話
〇	〇	ling4		ling4
㑊	㑊	jik6		jik6
㓟	㓟	pai1「削，又作𠜱字」		pai1,pei1
㓤	㓤	gat1「刺」		gat1
㔆	㔆	caam5「刺，扎」		caam5
㕭	㕭	jaau1「咿㕭，不認真」		jaau1
㗎	㗎	gaa3「語氣詞，表示強調」,gaa4「語氣詞，嘅ge3啊aa4的合音」		gaa3,gaa4
㗱	㗱	zep1「吸奶聲」,zep6「咀嚼聲」	(又)zaap1,(又)zaap6	zaap6,zep6
㗲	𠵾	waak1「能說會道，又作𡄴字」		waak1
㗾	㗾	hoe4「～㗾hoe2聲，熱鬧貌」,hoe2「㗾hoe4～聲」,hoe1「起鬨」		hoe1,hoe4
㘄	㘄	lang1「象聲詞」	(語)lang6「攔截」	lang1
㙓	㙓	kwai4		kwai4
㚻	㚻	gai1		gai1
㜇	㜇	ai3「心情煩悶，又作翳字」	(又)ngai3	ai3
㜺	㜺	zaan2「～鬼，有趣」		zaan2
㞎	㞎	be2「㞎be4～，屎」,be4「～㞎be2」	(又)baa2,(又)baa4	baa2
㞓	㞓	hai1「女陰，俗作閪字」		hai1
㞗	㞗	kau4		kau4
㞘	㞘	duk1「容器底部，又作䐁/𡰪字」		duk1
㞢	㞢	zi1「古通作之」,jau5「古通作有」		zi1,jau5
㟤	㟤	luk6		luk6
㟼	㟼	ngu4		ngou4
㡿	㡿	cik1		cik1
㤿	㤿	jim1「㤿尖，愛挑剔」		jim1
㥮	㤘	zau3		zau3
㦒	㦒	lai2「冤～，冤枉」		lai2
㧗	㧗	zi2	(又)ci2	zi2,ci2
㧤	㧤	cung3「捅」		cung3
㧬	㧬	gung2「抱，舉」,ung2「推，又作擁字」		gung2,ung2
㧸	㧸	paang1		paang1
㧾	㧾	fat1「舀」		fat1
㨃	㨃	dui2「捅」		deoi2
㨆	㨆	lam6「堆砌」		lam6
㨘	㨘	saang2「拭擦；訓斥」		saang2
㨢	㨢	nang3「連帶，又作褦字」		nang3
㨤	㧟	kwaai5「舀，又作擓字」		kwaai5
㨴	㨴	kin2「掀，揭」		kin2
㩄	㩄	slaai1「浪費，俗字嘥」		saai1
㩋	𪮋	sluk1「擊」,sliu1「擊；把」		sok1,siu1
㩒	㩒	gam6		gam6
㩙	㩙	slaak1「～開邊，剖成兩半」		nim2,saak1
㩧	㩧	bok1「敲」		bok1
㩺	㩺	pi1「器物邊緣破損，又作𤿎字」		pei1
㩿	㩿	(訓)kak1「㪐～，路不平，說話結巴」		kak1
㪐	㪐	(訓)lak1「～㩿，路不平，說話結巴」		lak1
㪕	㪕	coek3		coek3
㪗	㪗	tau2「休息，又作敨字」		tau2
㫰	㫰	long6「晾」		long6
㬎	㬎	hin2		hin2
㬟	㬟	fan1	(語)mang4「未曾的合音」	fan1
㬤	㬤	jap1	(又)kap1	jap1
㭕	㭕	kyu1		keoi1
㮇	㮇	tim2		tim5,tim3
㳄	㳄	jin4		jin4
㵘	㵘	maan6		maan6
㷫	㷫	hing3「烤；热；烫」		hing3
㷹	㷹	(白)zeu3「用油炸」	(文)zaau3	zaau3
㹃	㹃	he3「翻，撬」,fe5「褦～，不整潔，又作褦襶」	(又)fe3「翻，撬」	he3,fe3
㹢	㹢	gaa1		gaa1
㹴	㹴	gang1		gang1
㺢	㺢	kok3		fok3
㾓	㾓	jyun1「骨節痠痛」		jyun1
㿀	㿀	baan1		baan1
㿭	㿭	caak3「皴；沙哑」		caak3
䀇	䀇	gu2		gu2
䀡	䀡	zim1「同覘字」		zim1
䀹	䀹	sim2「眨」	(又)sip3,(又)zip3	sim2,sip3,zip3
䁋	䁋	hip3「閉目」		hip3
䁪	䁪	zaam2		zaam2
䁽	䁽	laap3「掃視」		laap3
䂻	䂻	zaang6「硬塞；撐飽肚子」		zaang6
䅦	䅦	maau1「蘿蔔等糠了，又作泡字」		nau4
䅺	䅺	biu1「～青，出衆」		biu1
䆡	䆡	long4	(語)laang1「䆲䆡，空蕩」	long4,laang1
䆲	䆲	hong1	(語)kwaang1「䆲䆡，空蕩」	hong1,kwaang1
䉲	𥮜	mi4		nei4
䉺	䉺	hong2「陳米發黴的氣味；皮膚因缺油脂乾燥」		hong2
䊦	䊦	(白)et3「糍粑」	(文)jit3	jit3,zit3
䊷	䌶	zi1	(老派)zy1	zi1
䋨	䋨	pau3「鬆軟，又作婄字」		pau3
䍇	䍇	taap3「罈子」		taap3
䎺	䎺	zai3「願意；合算」		zai3
䏙	䏙	dam1「肚䏙，肚子」		dam1
䐁	䐁	duk1「容器底部，又作㞘/𡰪字」		duk1
䐛	䐛	daap1		daap1
䐥	䐥	ung3「酸菜變質氣味」		ung3
䑜	䑜	dep1「小口品嚐」		dip1
䒏	䒏	zang2		zang2
䒐	䒐	mang2		mang2
䘆	䘆	hyun2「黃～，蚯蚓」		hyun2
䚕	䚕	lai6「瞟，怒視，又作𧢝/矋字」		lai6
䝋	䝋	zung1	(又)zung3	zung1；(又)zung3
䝼	䞍	cing4「承受財物」,zing6「賜予」		cing4,zing6
䞘	䞘	gat6「同趷字」		gat6
䟕	䟕	caa1「誤踏，又作蹅字」		caa1
䟴	䟴	ngan3「抖動」		ngan3
䠋	䠋	bi2「同髀字」,pe5「歪斜」		bei2,pe5
䠩	䠩	gui6「累，又作癐/攰字」		gui6
䢅	䢅	san4		san4
䥑	鿏	mak6		mak6
䥛	䥛	git3		git3
䩌	䩌	ciu4	(語)caau4「褶皺」	caau4,ciu4
䩩	䩩	jyun2「稱物的容器」		jyun2
䭔	𫗰	dui1「煎～」		deoi1
䭞	䭞	jek3「油變質味，即哈喇，又作膉字」	(又)ek3「弱化讀法」	jek3
䭤	䭤	hin2		hin2
䭦	䭦	bok3「同餺字」		bok3
䭰	䭰	bung6「同𩗴字」		bung6
䰾	鲃	baa1		baa1
䲘	鳤	gun2		gun2
䴉	鹮	waan4		waan4
䵑	䵑	nik1「～住，停滯」		nik1
一	一	jat1		jat1
丁	丁	ding1「甲乙丙丁」	(白)deng1「人丁，豆丁」	ding1；(古)zang1伐木丁丁
七	七	cat1		cat1
万	万	maan6「同萬字」,mak6「万俟，複姓」		maan6,mak6
丈	丈	zoeng6		zoeng6
三	三	slaam1		saam1；三思又讀saam3
上	上	soeng6「上面」,soeng5「上山」		1)soeng6:上面 2)soeng5:上山
下	下	haa6「底下」,haa5「一下，等下」		1)haa6:山下 2)haa5:打十下
不	不	bat1		bat1
与	与	jyu5		1)jyu5:贈與 2)jyu6:參與；同歟
丏	丏	min5		min5
丐	丐	koi3	(又)goi3	koi3
丑	丑	cau2		cau2
且	且	ce2		ce2；(古)zeoi1
丕	丕	pi1		pei1
世	世	sai3		sai3
丘	丘	jau1		jau1
丙	丙	bing2		bing2
丞	丞	sing4		sing4
丟	丢	diu1		diu1
並	并	bing6「並且」		bing6；(又)bing3
丫	丫	aa1	(又)jaa1	aa1
中	中	zung3「中計」,zung1「中間」		1)zung1:中央 2)zung3:中毒
丰	丰	fung1		fung1
串	串	cyun3		cyun3
丸	丸	jyun4		jyun4；(語)jyun2
丹	丹	daan1		daan1
主	主	zyu2		zyu2
丼	丼	(白)zeng2「同井字」,dam2「落水聲；姓」	(文)zing2	dam2,zing2
丽	丽	lai6		lai6
乂	乂	ngaai6		ngaai6
乃	乃	naai5		naai5
久	久	gau2		gau2
么	么	jiu1「同幺字」,mo1「同麼字」,maa1「同嗎字」		maa1,mo1,jiu1
之	之	zi1		zi1
乍	乍	zaa3		zaa3
乎	乎	wu4	(又)fu4	fu4
乏	乏	faat6		fat6
乒	乒	bing1		ping1
乓	乓	baang1		pong1；(又)bam1
乖	乖	gwaai1		gwaai1
乘	乘	sing4「乘坐」,sing6「千乘」		1)sing4:乘車 2)sing6:千乘之國
乙	乙	jyut3		jyut6；(又)jyut3
乜	乜	mat1「乜嘢」,me1「斜視」	(語)me4「～斜sle4，醉態」	mat1,me6,me1
九	九	gau2		gau2
乞	乞	hat1		hat1
也	也	jaa5		jaa5
乩	乩	gi1		gei1
乱	乱	lyun6		lyun6
乳	乳	jyu5		jyu5
乸	乸	naa2「母，雌」		naa2
乾	乾	kin4「乾坤」,gon1「乾燥」		1)gon1:乾燥 2)kin4:乾坤
亂	乱	lyun6		lyun6
了	了	liu5		liu5
予	予	jyu5「賦予」,jyu4「我」		1)jyu4:予取予求 2)jyu5:授予
事	事	si6	(老派)sy6	si6
二	二	ji6		ji6
亍	亍	cuk1		cuk1
于	于	jyu1「同於字」,jyu4「之子于歸；姓」		jyu1；(古)jyu4之子于歸
云	云	wan4		wan4
互	互	wu6		wu6
亓	亓	ki4		kei4
五	五	ng5		ng5
井	井	(白)zeng2	(文)zing2	zeng2；井井有條，井然又讀zing2
亙	亘	gang2		gang2
些	些	sle1		se1
亞	亚	aa3		aa3
亟	亟	gik1「亟待」,ki3「亟請」		1)gik1:需款甚亟 2)kei3:亟來問訊
亡	亡	mong4		mong4；(古)同無
亢	亢	gong1「人頸」,kong3「亢奮」		gong1,kong3
交	交	(白)geu1「交錢」	(文)gaau1「成交」	gaau1
亥	亥	hoi6		hoi6
亦	亦	jik6		jik6
亨	亨	hang1		hang1；(古)同烹
享	享	hoeng2		hoeng2
京	京	ging1		ging1
亭	亭	ting4		ting4
亮	亮	loeng6		loeng6
亯	亯	hoeng2		hoeng2
人	人	jan4		jan4
什	什	sam6「什麼」,sap6「什錦，什物」	(又)zaap6「什錦，什物」	1)sap6:什一之稅 2)sam6:什麼；(俗)用作雜
仁	仁	jan4	(白)ngan4「果仁」	jan4
仃	仃	ding1		ding1
仄	仄	zak1		zak1
仅	仅	gan2		gan2
仆	仆	puk1「仆倒」,fu6「前仆後繼」		fu6
仇	仇	cau4「仇恨」,kau4「姓」		sau4；姓氏又讀kau4或cau4
仉	仉	zoeng2		zoeng2
今	今	gam1		gam1
介	介	gaai3		gaai3
仍	仍	jing4		jing4
从	从	cung4		cung4
仔	仔	zi2「仔細」,zai2「仔女」	(老派)zy2「仔細」	1)zi2:仔細 2)zai2:香港仔；(古)zi1:仔肩
仕	仕	si6	(老派)sy6	si6
他	他	taa1		taa1
仗	仗	zoeng3「打仗」,zoeng6「倚仗」		1)zoeng3:打仗 2)zoeng6:仗義執言
付	付	fu6		fu6
仙	仙	slin1		sin1
仝	仝	tung4		tung4
仞	仞	jan6		jan6
仟	仟	cin1		cin1
仡	仡	ngat6「壯勇」,go1「仡佬族」	(又)gat1「仡佬族」	ngat6,gat1,go1
代	代	doi6		doi6
令	令	ling6		1)ling6:命令 2)ling1:一令紙
以	以	ji5		ji5
仨	仨	slaam1		saam1
仫	仫	muk6	(又)mo1	muk6,mo1
仰	仰	joeng5「信仰」	(白)ngong5「仰頭」	joeng5
仲	仲	zung6「副詞，還，本字重」		zung6
仳	仳	pi2		pei2
仵	仵	ng5		ng5
件	件	gin6		gin6
价	价	gaa3		gaa3
任	任	jam4「姓」,jam6「責任」		1)jam6:信任 2)jam4:姓任
份	份	fan6		fan6
仿	仿	fong2		fong2
企	企	ki5		kei5
伈	伈	slam2		sam2
伉	伉	kong3		kong3
伊	伊	ji1		ji1
伋	伋	kap1		kap1
伍	伍	ng5		ng5
伎	伎	gi6		gei6,kei4
伏	伏	fuk6「埋伏」	(白)buk6「趴」	fuk6
伐	伐	faat6		fat6
休	休	jau1		jau1
伕	伕	fu1		fu1
优	优	jau1		jau1
伙	伙	fo2		fo2
伢	伢	ngaa4		ngaa4
伭	伭	jyun4		jyun4
伯	伯	baak3		baak3；(古)baa3五伯
估	估	gu2		gu2
伴	伴	bun6「伴侶」	(白)pun5「作伴」	bun6
伶	伶	ling4		ling4
伸	伸	san1	(語)can1「伸懶腰，又作抻/胂字」	san1
伺	伺	ci6「伺候」,si6「伺機」	(老派)cy6,(老派)sy6	zi6
似	似	ci5	(老派)cy5	ci5
伽	伽	gaa1「伽利略」,ke4「伽藍」		gaa1；伽藍又讀ke4
伾	伾	pi1		pei1
伿	伿	ji6	(又)zi3	ji6,zi3
佃	佃	din6「佃戶」,tin4「佃作」		1)din6:佃農 2)tin4:佃作
但	但	daan6		daan6
佇	伫	cyu5		cyu5
佈	布	bu3		bou3
佉	佉	kyu1		keoi1
佌	佌	ci2	(老派)cy2	ci2
位	位	wai6「位置」	(白)wai2「有個位」	wai6
低	低	dai1		dai1
住	住	zyu6		zyu6
佐	佐	zo2		zo3；(俗)zo2
佑	佑	jau6		jau6
体	体	tai2		tai2
佔	占	zim3		zim3
何	何	ho4		ho4
佖	佖	bit1		bit1
佗	佗	to4「華佗；負荷」		to4
佘	佘	se4		se4
余	余	jyu4		jyu4
佚	佚	jat6		jat6
佛	佛	fat6「佛教」,fat1「仿佛」		1)fat6:佛教 2)fat1:彷彿
作	作	zok3		zok3
佝	佝	kyu1	(又)kau3,(又)gau1	keoi1
佞	佞	ning6		ning6
佟	佟	tung4		tung4
你	你	ni5		nei5
佢	佢	kyu5「第三人稱代詞」		keoi5
佣	佣	jung6	(白)jung2「佣金」	jung2；(又)jung6；同傭
佤	佤	ngaa5		ngaa5
佩	佩	pui3		pui3
佬	佬	lu2		lou2
佮	佮	gap3「佮份，湊份子，又作敆字」	(語)tap1「套，又作錔字」	gap3
佯	佯	joeng4		joeng4
佰	佰	baak3		baak3
佳	佳	gaai1		gaai1
併	并	bing3「合併」		bing3
佸	佸	wut6		wut6
佹	佹	gwai2		gwai2
佺	佺	cyun4		cyun4
佻	佻	tiu1	(又)tiu4	tiu1；(又)tiu4
佼	佼	gaau2	(白)geu2	gaau2
佽	佽	ci3	(老派)cy3	ci3
佾	佾	jat6		jat6
使	使	(習)sai2「使用」,si3「大使」	(書)si2「致使」	1)si2:古使 2)si3:公使；(語)sai2
侁	侁	slan1		san1
侂	侂	tok3		tok3
侃	侃	hon2		hon2
侄	侄	zat6		zat6
來	来	(白)lai4	(文)loi4	loi4
侈	侈	ci2		ci2
侉	侉	kwaa1		kwaa2,kwaa1
例	例	lai6		lai6
侍	侍	si6		si6
侏	侏	zyu1		zyu1
侑	侑	jau6		jau6
侔	侔	mau4		mau4
侖	仑	lan4	(老派)lyun4	leon4
侗	侗	dung6「侗族」,tung4「倥侗」		dung6,tung4
侘	侘	caa3		caa3
供	供	gung1「供應」,gung3「供奉」		gung1；供養又讀gung3
依	依	ji1		ji1
侮	侮	mu5		mou5
侯	侯	hau4		hau4
侵	侵	cam1		cam1
侶	侣	lyu5		leoi5
侷	局	guk6		guk6
便	便	bin6「方便」,pin4「便宜」	(白)bin2「順便，隨便」	1)bin6:方便 2)pin4:大腹便便
俁	俣	jyu5		jyu5
係	系	hai6「關係；是」		hai6
促	促	cuk1		cuk1
俄	俄	ngo4		ngo4
俅	俅	kau4		kau4
俇	俇	gwaang6	(又)gong6	gwaang6,hong1
俊	俊	zan3		zeon3
俍	俍	loeng4		loeng4
俎	俎	zo2		zo2
俏	俏	ciu3		ciu3
俐	俐	li6		lei6
俑	俑	jung2		jung2
俗	俗	zuk6	(又)suk6	zuk6
俘	俘	fu1		fu1
俙	俙	hi1		hei1
俚	俚	li5		lei5
俜	俜	ping1		ping1
保	保	bu2		bou2
俞	俞	jyu4		jyu4
俟	俟	si6「俟機」,ki4「万俟，複姓」	(老派)sy6	zi6；(複姓)kei4万俟
俠	侠	haap6		hap6；(又)haap6
信	信	slan3	(老派)slyun3	seon3
俤	俤	dai6		dai6
俥	伡	ce1		ce1
俬	私	si1	(老派)sy1	si1
修	修	slau1		sau1
俯	俯	fu2		fu2
俱	俱	gyu6	(又)kyu1	keoi1
俳	俳	paai4		paai4
俵	俵	biu2		biu2
俶	俶	tik1「同倜字」,cuk1「開始；整理」		tik1,cuk1
俸	俸	fung6	(白)fung2	fung2
俺	俺	jim3	(又)aan2	jim3
俾	俾	bi2		bei2
倀	伥	coeng1「爲虎作倀」,caang4「獨立貌」		caang4；(又)coeng1
倆	俩	loeng5		loeng5
倉	仓	cong1		cong1
個	个	go3		go3
倌	倌	gun1		gun1
倍	倍	pui5		pui5
倏	倏	suk1		suk1
們	们	mun4		mun4
倒	倒	du3「倒掛」,du2「倒塌」		dou2
倓	倓	taam4		taam4
倔	倔	gwat6		gwat6
倕	倕	sui4	(又)cui4	seoi4
倖	幸	hang6		hang6
倘	倘	tong2		tong2
候	候	hau6		hau6
倚	倚	ji2		ji2
倜	倜	tik1		tik1
借	借	ze3		ze3
倡	倡	coeng1「倡優；提倡，倡議」	(又)coeng3「提倡，倡議」	coeng1；提倡又讀coeng3
倣	倣	fong2		fong2
倥	倥	hung1「倥侗」,hung2「倥傯」		1)hung1:倥侗 2)hung2:倥傯
倦	倦	gyun6		gyun6
倧	倧	zung1		zung1
倨	倨	gyu3		geoi3
倩	倩	sin6		sin6；(又)sin3
倪	倪	ngai4	(又)ni4	ngai4
倫	伦	lan4	(老派)lyun4	leon4
倭	倭	wo1		wo1；(古)wai1倭遲
倳	倳	zi3		zi3
倷	倷	noi6		noi6
值	值	zik6		zik6
偃	偃	jin2		jin2
假	假	gaa3「放假」,gaa2「真假」	(常)kaa3「放假」	1)gaa2:真假 2)gaa3:休假
偈	偈	gai6「佛偈」,git6「武貌，疾馳」	(語)gai2「傾偈，聊天」	gai2,gai6,git6
偉	伟	(書)wai5	(習)wai2	wai5
偌	偌	je6		je6
偎	偎	wui1		wui1
偏	偏	pin1		pin1
偕	偕	gaai1	(又)haai4	gaai1
做	做	zu3		zou6
偛	偛	zaap3「皮皺」		zaap3
停	停	ting4		ting4
偡	偡	zaam3		zaam3
健	健	gin6		gin6
偪	偪	bik1		bik1
偫	偫	zi6		zi6
偰	偰	slit3		sit3
偲	偲	si1「偲偲」,caai1「多才」	(老派)sy1「偲偲」,(又)sloi1「多才」	si1,caai1
側	侧	zak1	(又)cak1	zak1
偵	侦	zing1		zing1
偶	偶	ngau5		ngau5
偷	偷	tau1		tau1
偽	伪	ngai6		ngai6
傀	傀	kwai2「傀儡」,gwai1「傀奇」	(又)gwai2「傀儡」	1)faai3:傀儡 2)gwai1:傀偉
傂	傂	zi6		zi6
傃	傃	slu3		sou3
傅	傅	fu6		fu6
傍	傍	bong6「依傍」,pong4「傍晚」		1)bong6:依山傍水 2)pong4:傍晚
傑	杰	git6「傑出；（粥）稠」		git6
傕	傕	gok3		gok3
傖	伧	cong1		cong1
傘	伞	slaan3		saan3
備	备	bi6		bei6
傝	傝	taap3	(語)daap3「冇釐傝𢶍，不踏實」	taap3
傢	家	gaa1		gaa1
催	催	cui1		ceoi1
傭	佣	jung4「傭工」		jung4
傲	傲	ngu6		ngou6
傳	传	zyun6「傳記」,cyun4「傳達」		1)cyun4:傳達 2)zyun6:小傳
傴	伛	jyu2		jyu2
債	债	zaai3		zaai3
傷	伤	soeng1		soeng1
傺	傺	cai3		cai3
傻	傻	slo4		so4
傾	倾	king1		king1
僂	偻	lau4「佝僂」,lyu5「脊背彎曲」		lau4,leoi5
僅	仅	gan2		gan2
僆	僆	lin5	(語)leng1「年幼的」	lin5,leng1
僇	僇	luk6		luk6
僉	佥	cim1		cim1
僊	僊	slin1「同仙字」		sin1
働	働	dung6		dung6
僎	僎	(習)zyun6「同撰字」	(書)zaan6	zaan6
像	像	zoeng6		zoeng6
僑	侨	kiu4		kiu4
僔	僔	zyun2		zyun2
僕	仆	buk6	(常)puk6	buk6
僖	僖	hi1		hei1
僚	僚	liu4		liu4
僝	僝	saan4		saan4
僞	伪	ngai6		ngai6
僥	侥	hiu1		hiu1；(古)jiu4僬僥
僧	僧	zang1		zang1
僨	偾	fan5		fan5
僭	僭	cim3		cim3
僮	僮	tung4「書僮」,zong6「僮族」		1)tung4:書僮 2)zong6:僮族
僰	僰	baak6		baak6
僱	雇	gu3		gu3
僳	僳	sluk1		suk1
僵	僵	goeng1	(又)koeng1	goeng1
價	价	gaa3		gaa3
僻	僻	pik1		pik1
僿	僿	si1		si1
儀	仪	ji4		ji4
儁	俊	zan3		zan3
儂	侬	nung4	(又)nung1	nung4
億	亿	jik1		jik1
儆	儆	ging2「儆戒」	(語)geng6「儆惜slek3，珍惜」	ging2
儇	儇	hyun1		hyun1
儈	侩	kwai3	(又)kui3	kui2；(又)kui3
儉	俭	gim6		gim6
儐	傧	ban3		ban3
儒	儒	jyu4		jyu4
儓	儓	toi4		toi4
儔	俦	cau4		cau4
儕	侪	caai4		caai4
儘	尽	zan6		1)zeon6:儘量 2)zeon2:儘管
償	偿	coeng4	(又)soeng4	soeng4
儡	儡	lui5		leoi5
儦	儦	biu1		biu1
儩	儩	ci3	(老派)cy3	ci3
優	优	jau1		jau1
儱	儱	lung5		lung5
儲	储	cyu4		cyu5
儴	儴	joeng4		joeng4
儵	儵	suk1		suk1
儷	俪	lai6		lai6
儹	儹	zan2「同攢字」	(又)zaan2	zaan2
儺	傩	no4		no4
儻	傥	tong2		tong2
儼	俨	jim5	(又)jim4	jim5
儽	儽	lui5		leoi5
儿	儿	ji4「同兒字」,jan4「同人字」		ji4,jan4
兀	兀	ngat6		ngat6
允	允	wan5	(罕)jan5	wan5
元	元	jyun4		jyun4
兄	兄	hing1		hing1
充	充	cung1		cung1
兆	兆	ziu6		siu6
兇	凶	hung1		hung1
先	先	slin1		sin1
光	光	(書)gwong1	(習)gong1	gwong1
克	克	hak1	(常)kak1	hak1
兌	兑	dui3		deoi3
免	免	min5		min5
兑	兑	dui3		dui3
兒	儿	ji4		ji4
兔	兔	tu3		tou3
兕	兕	zi6	(老派)cy5,(又)ci5	zi6
兗	兖	jin5		jin5
党	党	dong2		dong2
兜	兜	dau1		dau1
兢	兢	ging1		ging1
入	入	jap6		jap6
內	内	nui6		noi6；(古)同納
全	全	cyun4		cyun4
兩	两	loeng5「兩個」,loeng2「斤兩」		1)loeng5:兩本書 2)loeng2:十兩
八	八	(白)bet3	(文)baat3	baat3
公	公	gung1		gung1
六	六	luk6		luk6
兮	兮	hai4	(又)hi1	hai4
共	共	gung6		gung6
兵	兵	bing1		bing1
其	其	ki4		kei4
具	具	gyu6		geoi6
典	典	(書)din2	(習)dim2	din2
兼	兼	gim1		gim1
冀	冀	gi3	(又)ki3	kei3
冇	冇	mu5「沒有」		mou5
冉	冉	jim5		jim5
冊	册	caak3		caak3
再	再	zoi3		zoi3
冏	冏	gwing2		gwing2
冑	胄	zau6		zau6
冒	冒	mu6	(白)maau6	mou6；(古人名)mak6冒頓
冔	冔	hyu2		heoi2
冕	冕	min5		min5
冗	冗	jung2		jung2
冘	冘	jam4「冘冘」,jau4「冘豫，同猶豫」		jam4,jau4
冚	冚	kam2「蓋上」,ham6「蓋得嚴密；全部，冚𠾴唥」		kam2,ham6
冠	冠	gun3「冠軍」,gun1「衣冠」		1)gun1:衣冠 2)gun3:冠軍
冢	冢	zung2		cung2
冤	冤	jyun1		jyun1
冥	冥	ming4		ming4；(又)ming5
冧	冧	lam3「垮塌」,lam1「哄；花蕾；甜蜜」		lam3,lam1
冪	幂	mik6		mik6
冬	冬	dung1		dung1
冰	冰	bing1		bing1
冱	冱	wu6		wu6
冶	冶	je5		je5
冷	冷	laang5		laang5
冼	冼	slin2		sin2
冽	冽	lit6		lit6
凄	凄	cai1		cai1
准	准	zan2	(老派)zyun2	zeon2
凈	净	zing6「凈重」	(白)zeng6「乾凈」	zeng6,zing6
凋	凋	diu1		diu1
凌	凌	ling4		ling4
凍	冻	dung3		dung3
凘	凘	si1	(老派)sy1	si1
凜	凛	lam5		lam5
凝	凝	ning4	(又)nging4,(語)king4「凝結，啲油～嗮」	jing4
几	几	gi1「茶几」		gei1
凡	凡	faan4		faan4
凧	凧	gan1		gan1
凩	凩	muk6		muk6
凪	凪	zi2		zi2
凭	凭	pang4「同憑字」,bang6「倚靠」		pang4,bang6
凰	凰	wong4		wong4
凱	凯	hoi2	(又)koi2	hoi2
凳	凳	dang3		dang3
凶	凶	hung1		hung1
凸	凸	dat6		dat6
凹	凹	(訓)map1	(又)nap1,(又)aau3	nap1；(又)aau3
出	出	cyut1	(又)cat1	ceot1
凼	凼	tam5「水坑」		tam5
函	函	haam4		haam4
刀	刀	du1		dou1
刁	刁	diu1		diu1
刃	刃	jan6		jan6
分	分	fan6「本分」,fan1「分開」		1)fan1:分開 2)fan6:本分
切	切	cit3「切開」,cai3「一切」		1)cit3:急切 2)cai3:一切
刈	刈	ngaai6	(又)ngai6	ngaai6
刉	刉	gi1		gei1
刊	刊	hon2		hon1；(又)hon2
刎	刎	man5		man5
刑	刑	jing4		jing4
划	划	waa1「划船」	(又)waa4「划船，划算」	1)waa1:划船 2)faa3:划不來
刓	刓	jyun4		jyun4
刖	刖	jyut6		jyut6
列	列	lit6「排列」	(量)let6「排，又作迾字」,(量)laat6「排，又作迾字」	lit6
初	初	co1		co1
判	判	pun3		pun3
別	别	bit6		bit6
刨	刨	(白)peu4	(文)paau4	paau4
利	利	li6		lei6
刪	删	saan1		saan1
刮	刮	(白)gwet3	(文)gwaat3	gwaat3
到	到	du3		dou3
刱	刱	cong3		cong3
刳	刳	fu1		fu1
制	制	zai3		zai3
刷	刷	caat3		1)caat3:刷牙 2)saat3:刷白
券	券	(習)gyun3	(書)hyun3	hyun3；(又)gyun3
刺	刺	ci3「魚刺」	(老派)cy3,(白)cek3「刺骨，頭刺，肉刺」	ci3；行刺又讀cik3
刻	刻	hak1	(常)kak1	hak1
剁	剁	(訓)doek3「訓讀爲斲」	(又)do3	doek3；(又)do3
剃	剃	tai3		tai3
剄	刭	ging2		ging2
則	则	zak1		zak1
剉	剉	co3		co3
削	削	sloek3		soek3
剋	克	hak1	(常)kak1	hak1
剌	剌	laat6「乖剌」,laa1「割開」		1)laat6:剌謬 2)laa1:剌了一個口子
前	前	cin4		cin4
剎	刹	saat3		saat3；古剎又讀caat3
剒	剒	cok3		cok3
剔	剔	tik1「挑剔」	(白)tek3「剔除」	tik1
剖	剖	pau2		fau2；(又)pau2
剚	剚	zi3		zi3
剛	刚	gong1		gong1
剜	剜	wun2	(又)wun1	wun2；(又)wun1
剝	剥	bok3		mok1
剟	剟	zyut3		zyut3
剡	剡	jim5「銳利，削尖」,sim6「剡溪」		jim5,sim6
剩	剩	(習)zing6	(書)sing6	sing6
剪	剪	zin2		zin2
剮	剐	gwaa2		gwaa2
副	副	fu3		fu3
割	割	got3		got3
剴	剀	hoi2		hoi2
創	创	cong3		1)cong3:創造 2)cong1:刀創
剷	铲	(白)cen2	(文)caan2	caan2
剺	剺	li4	(語)li1「撕，或作劙字」	lei4
剽	剽	piu4		piu5
剿	剿	ziu2		ziu2；同抄，剿襲
劁	劁	zyut3		ciu4
劃	划	waak6		waak6
劄	劄	zaap3		zaap3,zaat3
劇	剧	kek6		kek6
劈	劈	pek3		pek3
劉	刘	lau4		lau4
劊	刽	kwai3	(又)kui3	kui2
劌	刿	gwai3		gwai3
劍	剑	gim3		gim3
劏	㓥	tong1「宰殺」		tong1
劐	劐	kok3	(又)wok6,(又)waak6	wok6,hap6
劑	剂	zai1		zai1
劓	劓	ji6		ji6
劖	劖	(白)cem4「刺入，又作鑱/攙字」	(文)caam4	caam4
劘	劘	mo4	(語)mai1「～皮，削皮」	mo4
劙	劙	lai5	(又)li4	lai5,lei4
力	力	lik6		lik6
功	功	gung1		gung1
加	加	gaa1		gaa1
劣	劣	lyut3	(又)lit6	lyut3
助	助	zo6		zo6
努	努	nu5		nou5
劫	劫	gip3		gip3
劬	劬	kyu4		keoi4
劭	劭	siu6		siu6
劼	劼	kit3		kit3
劾	劾	hat6		hat6
勁	劲	ging3「幹勁」,ging6「強勁；厲害」		ging6
勃	勃	but6		but6
勇	勇	jung5		jung5
勉	勉	min5		min5
勍	勍	king4		king4
勒	勒	lak6		lak6
動	动	dung6		dung6
勖	勖	juk1		juk1
勗	勗	juk1		juk1
勘	勘	ham3		ham3；(又)ham1
務	务	mu6		mou6
