繁體	簡體	南寧白話	又音	廣州話
纛	纛	duk6	(又)du6	dou6,duk6
纜	缆	laam6		laam6
缶	缶	fau2		fau2
缸	缸	gong1		gong1
缺	缺	kyut3		kyut3
缽	钵	but3		but3
缾	缾	ping4		ping4
罄	罄	hing3		hing3
罅	罅	(訓)laa3「縫隙」	(白)le3	laa3
罇	樽	zan1	(老派)zyun1	zeon1
罈	坛	taam4		taam4
罉	罉	caang1「平底煎鍋，又作鐺字」		caang1
罌	罂	aang1「罐子」		aang1
罍	罍	lui4		leoi4
罐	罐	gun3		gun3
网	网	mong5		mong5
罔	罔	mong5		mong5
罕	罕	hon2		hon2
罘	罘	fau4		fau4
罛	罛	gu1		gu1
罟	罟	gu2		gu2
罡	罡	gong1		gong1
罨	罨	ap1「～汁，陰暗潮溼，又作浥字」,jim2「補魚、鳥的網；敷，覆蓋」		ap1,jim2
罩	罩	(白)zeu3	(文)zaau3	zaau3
罪	罪	zui6		zeoi6
置	置	zi3		zi3
罯	罯	ap1「捂，敷，又作搕字」		ap1
罰	罚	faat6		fat6
署	署	syu5		cyu5；(又)syu5
罳	罳	si1	(老派)sy1	si1
罵	骂	maa6		maa6
罶	罶	lau5		lau5
罷	罢	baa6		baa6；(古)通疲 罷弊
罹	罹	li4		lei4
罽	罽	gai3		gai3
罾	罾	zang1		zang1
羅	罗	lo4		lo4
羆	罴	bi1		bei1
羈	羁	gi1		gei1
羊	羊	joeng4		joeng4；(古)通祥
羌	羌	koeng1		goeng1
美	美	mi5	(常)mai5	mei5
羑	羑	jau5		jau5
羓	羓	baa1		baa1
羔	羔	gu1		gou1
羕	羕	joeng6		joeng6
羖	羖	gu2		gu2
羚	羚	ling4		ling4
羝	羝	dai1		dai1
羞	羞	slau1		sau1
羠	羠	ji4		ji4
羡	羡	slin3		sin6
羣	群	kwan4		kwan4
群	群	kwan4		kwan4
羧	羧	slo1		so1
羨	羡	slin3		sin6
義	义	ji6		ji6
羯	羯	kit3		kit3
羰	羰	tong1		tong1
